county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""47001""","""Anderson""","""Knoxville, TN""",53.00,75430.00,30612.00,215783.82,55,65,48,27,33,23,29,32,26,9.26,5.69,1.83,2,2,22931,20450,24122,0,0,0,13203,11529,13874,9957,8634,10460,3246,2895,3414,0,0,1,0,0,1,2.3,3.3,0.49,0.14,4906,71,7276,85,57,21,2704,1011,1114,593,68,32
"""47003""","""Bedford""","""Shelbyville, TN""",25.00,45986.00,16721.00,303128.21,61,71,48,28,35,22,33,36,27,9.97,2.70,1.93,2,2,24465,21970,24648,0,0,0,13950,12246,14342,10485,9134,10851,3463,3111,3489,2,1,3,1,1,2,1.2,2.8,0.27,0.06,3220,74,4102,84,110,9,3247,966,1039,653,68,32
"""47005""","""Benton""","""""",13.00,16261.00,6786.00,252353.81,67,79,45,29,37,18,37,43,27,9.23,0.89,1.79,2,2,22133,19746,24846,1,1,1,12406,11356,14566,9255,8543,11031,3134,2796,3517,17,18,19,15,15,16,2.0,2.9,0.15,0.03,1478,67,1469,80,148,7,3828,814,884,516,76,24
"""47007""","""Bledsoe""","""""",8.00,13686.00,4534.00,260111.75,66,79,49,30,37,20,37,42,28,10.08,0.32,1.97,2,2,24038,21456,25306,1,1,1,13584,12491,15158,10172,9443,11565,3403,3038,3582,9,10,11,8,8,9,1.2,1.3,0.12,0.02,1471,68,1385,81,237,6,3955,915,965,502,77,23
"""47009""","""Blount""","""Knoxville, TN""",78.00,125188.00,49033.00,357569.19,58,68,50,28,36,24,29,32,26,9.75,4.94,1.86,2,2,23014,20475,24223,0,0,0,13366,11664,14045,10109,8765,10616,3257,2899,3428,0,0,1,0,0,1,2.9,3.3,0.43,0.14,5688,74,6927,85,60,20,3939,1084,1113,707,74,26
"""47011""","""Bradley""","""Cleveland, TN""",55.00,102062.00,38466.00,210407.36,59,69,47,28,35,22,31,34,25,9.59,5.49,1.79,2,2,22779,20340,23785,0,0,0,12993,11350,13731,9768,8468,10362,3224,2880,3366,1,2,2,1,1,1,2.2,3.6,0.62,0.18,5521,70,7148,85,66,23,2729,982,1056,648,65,35
"""47013""","""Campbell""","""Knoxville, TN""",32.00,40176.00,15995.00,307295.09,52,60,45,22,28,19,30,32,26,9.18,2.94,1.87,2,2,23212,20777,24369,1,1,1,13491,11821,14154,10196,8870,10693,3285,2942,3449,10,9,12,9,8,10,1.8,2.9,0.42,0.05,2615,71,2121,81,90,11,3497,839,950,517,70,30
"""47015""","""Cannon""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",10.00,13787.00,5388.00,170006.31,48,57,48,20,25,20,28,32,28,9.27,0.64,2.12,2,2,25528,22870,25397,0,0,0,15156,13906,15071,11537,10666,11469,3613,3237,3595,6,3,7,5,2,6,1.2,1.5,0.18,0.03,1870,74,1715,82,224,6,3582,889,916,577,75,25
"""47017""","""Carroll""","""""",23.00,28353.00,11168.00,383528.75,63,75,45,27,34,18,36,42,27,9.58,1.63,1.86,2,2,23035,20665,25028,1,1,1,12881,11802,14725,9607,8862,11169,3261,2926,3542,13,13,14,11,11,12,1.5,2.3,0.17,0.03,1648,75,1738,81,156,6,3566,795,839,496,74,26
"""47019""","""Carter""","""Johnson City, TN""",38.00,56941.00,23894.00,218369.64,56,67,44,25,31,18,32,36,26,9.10,4.11,1.78,2,2,22107,19754,24140,0,0,0,12314,11198,14004,9184,8401,10587,3130,2797,3417,0,0,0,0,0,0,2.0,2.9,0.39,0.11,4241,69,3974,83,79,19,2690,806,900,503,71,29
