mpo,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""42196404""","""York Area MPO""","""Baltimore-Columbia-Towson, MD,Gettysburg, PA,Harrisburg-Carlisle, PA,Lancaster, PA,York-Hanover, PA""",321.82,439457.02,167332.59,578469.69,52,62,56,28,35,30,24,26,25,9.39,12.05,1.90,2,2,22700,20009,22522,1,1,1,13734,12344,13542,10333,9348,10164,3352,2954,3325,49,41,52,13,11,14,1.9,4.9,0.93,0.29,10778,64,14003,87,49,32,2498,1370,1449,704,74,26
"""42196405""","""Reading Area Transportation Study""","""Allentown-Bethlehem-Easton, PA-NJ,Lancaster, PA,Lebanon, PA,Philadelphia-Camden-Wilmington, PA-NJ-DE-MD,Pottsville, PA,Reading, PA""",265.10,414186.49,153391.42,547997.08,52,62,54,29,36,30,24,27,24,8.96,19.96,1.85,2,2,21574,18927,21460,2,2,2,13266,11876,13163,10051,9054,9964,3185,2795,3169,30,27,30,27,25,28,2.0,4.1,1.06,0.28,14556,57,17980,88,37,32,2260,1336,1415,765,72,28
"""42196406""","""Erie MPO""","""Ashtabula, OH,Erie, PA,Jamestown-Dunkirk-Fredonia, NY,Meadville, PA,Warren, PA""",230.92,279749.51,109886.59,511276.15,53,62,47,26,33,23,27,29,24,8.73,17.75,1.69,2,2,20911,18745,21825,2,2,2,12352,10602,12990,9196,7759,9701,3087,2769,3222,68,74,67,36,39,35,1.4,5.8,0.66,0.21,11448,65,14771,86,45,16,3249,1010,1046,624,66,34
"""42196501""","""Delaware Valley Regional Planning Commission""","""Allentown-Bethlehem-Easton, PA-NJ,Atlantic City-Hammonton, NJ,Lancaster, PA,New York-Newark-Jersey City, NY-NJ-PA,Philadelphia-Camden-Wilmington, PA-NJ-DE-MD,Reading, PA,Trenton, NJ,Vineland-Bridgeton, NJ""",4073.34,5689903.51,2098494.26,2382687.89,51,60,58,32,39,37,20,21,22,7.71,31.61,1.63,1,2,18756,16273,18514,11,11,11,12338,10526,11614,9305,7874,8619,2770,2403,2734,262,249,262,178,170,178,2.9,7.3,2.56,0.88,36494,44,46247,89,19,58,1970,1659,1757,905,67,33
"""42196502""","""Harrisburg Area Transportation Study""","""Chambersburg-Waynesboro, PA,Gettysburg, PA,Harrisburg-Carlisle, PA,Lancaster, PA,Lebanon, PA,Pottsville, PA,Sunbury, PA,York-Hanover, PA""",375.81,558037.86,223596.20,1037877.98,48,57,52,26,33,28,22,24,24,8.85,14.67,1.73,2,2,21040,18751,21576,1,1,1,12537,11155,12728,9416,8371,9527,3107,2769,3186,15,15,16,11,12,13,1.8,6.7,0.97,0.22,11516,58,19352,86,40,33,2756,1263,1347,774,68,32
"""42196503""","""Cambria County MPO""","""Altoona, PA,DuBois, PA,Indiana, PA,Johnstown, PA,Pittsburgh, PA,Somerset, PA""",141.53,145279.75,60066.06,443787.33,55,63,45,26,32,20,29,31,25,8.63,9.95,1.69,2,2,20696,18523,22784,1,2,1,12282,10614,13551,9190,7838,10152,3056,2736,3364,37,40,34,26,28,24,1.2,5.3,0.77,0.14,5856,74,6337,84,61,19,2937,899,967,537,74,26
"""42196504""","""Blair County Planning Commission""","""Altoona, PA,DuBois, PA,Huntingdon, PA,Johnstown, PA,State College, PA""",112.98,126454.94,51036.89,336420.62,56,65,47,27,33,22,29,31,25,8.86,14.77,1.75,2,2,21598,19189,22731,1,1,1,12730,11037,13435,9530,8191,10067,3189,2834,3356,11,11,12,10,10,10,1.4,5.2,0.77,0.15,7716,71,9568,85,54,23,2997,975,1046,559,72,28
"""42196800""","""Williamsport Area Transportation Study""","""Bloomsburg-Berwick, PA,Lewisburg, PA,Lock Haven, PA,Sayre, PA,Sunbury, PA,Williamsport, PA""",113.00,116666.82,45910.51,786259.66,55,64,49,27,34,24,28,30,25,8.98,11.27,1.82,2,2,21829,19448,22705,1,1,1,13150,11394,13676,9920,8514,10316,3223,2872,3352,7,7,7,12,12,13,0.8,4.2,0.35,0.06,6065,69,8380,85,72,11,3487,1067,1084,681,70,30
"""42197400""","""Southwestern Pennsylvania Commission""","""DuBois, PA,Indiana, PA,Johnstown, PA,Morgantown, WV,New Castle, PA,Oil City, PA,Pittsburgh, PA,Salem, OH,Somerset, PA,Weirton-Steubenville, WV-OH,Wheeling, WV-OH,Youngstown-Warren-Boardman, OH-PA""",2103.06,2573946.25,1076426.06,4507484.17,50,59,49,26,33,25,24,27,24,8.50,15.96,1.71,2,2,20330,18155,21445,3,3,3,12365,11022,12955,9297,8274,9721,3002,2681,3166,66,67,68,41,41,42,1.9,6.2,0.97,0.24,15183,69,20836,86,40,28,2670,1130,1214,658,70,30
"""42198201""","""Centre County MPO""","""DuBois, PA,Huntingdon, PA,Lewisburg, PA,Lewistown, PA,Lock Haven, PA,State College, PA""",98.92,157756.71,57140.90,709649.66,54,64,53,29,36,28,25,28,25,8.91,15.53,1.79,2,2,21154,18787,21736,4,3,4,12986,11700,13274,9753,8826,9951,3123,2774,3209,109,100,115,105,97,111,0.9,4.0,0.64,0.08,7293,58,8558,85,101,9,3622,1254,1276,813,61,39
