place,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""4700200""","""Adams""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",0.07,147.45,51.42,1713.47,55,66,55,26,33,26,29,33,29,11.27,0.35,2.20,2,2,25966,23286,25832,0,0,0,15654,14384,15570,11978,11088,11912,3675,3296,3656,1,0,1,0,0,0,1.2,0.8,0.23,0.03,2321,83,1797,82,177,7,3207,1172,1251,846,80,20
"""4700240""","""Adamsville""","""""",0.52,665.20,270.34,4391.39,63,74,42,24,30,15,39,44,27,8.97,0.80,1.81,2,2,23154,20842,25034,1,1,1,12636,11563,14596,9340,8591,11035,3278,2951,3543,18,21,17,15,18,15,2.1,2.4,0.67,0.06,1289,81,1124,79,73,13,2450,661,738,445,74,26
"""4700440""","""Alamo""","""Jackson, TN""",0.59,532.78,182.99,1439.60,54,62,42,22,27,17,32,35,26,9.98,2.36,1.83,2,2,23655,21398,24411,0,0,0,13317,11706,13967,9968,8675,10511,3348,3030,3455,0,1,0,0,1,0,3.0,1.2,0.92,0.13,2074,72,2310,83,55,25,2171,743,826,628,56,44
"""4700540""","""Alcoa""","""Knoxville, TN""",8.07,11228.86,4834.71,9429.01,50,58,43,23,29,19,27,29,24,8.16,6.10,1.69,2,2,21555,19174,22722,0,0,0,12254,10631,12928,9203,7916,9711,3051,2715,3216,1,1,1,1,1,1,5.2,5.1,1.83,0.51,7567,66,11904,87,15,80,1123,868,813,733,60,40
"""4700620""","""Alexandria""","""""",0.18,260.07,102.15,1291.49,61,72,46,25,31,18,36,41,28,10.18,0.81,1.96,2,2,24713,22313,25497,0,0,0,13641,12528,14967,10142,9368,11358,3499,3159,3609,0,0,0,0,0,0,2.4,0.4,0.61,0.08,1984,82,1768,83,108,14,2338,803,842,722,68,32
"""4700640""","""Algood""","""Cookeville, TN""",0.56,1114.58,475.52,2576.45,69,83,48,34,42,22,35,40,26,9.60,1.90,1.77,2,2,22587,20289,24596,0,0,0,12315,11239,14150,9116,8365,10667,3198,2873,3481,1,1,1,1,1,1,3.3,1.8,0.84,0.18,3033,71,3351,84,55,34,1600,981,1078,462,66,34
"""4700660""","""Allardt""","""""",0.12,269.77,110.34,2494.22,75,90,47,33,41,19,42,49,28,9.45,0.42,1.86,2,2,22539,20063,25410,1,1,1,12828,11774,15141,9626,8922,11531,3191,2841,3596,11,12,14,10,10,12,1.3,1.6,0.14,0.04,1988,70,1392,81,236,7,3793,831,896,532,82,18
"""4700940""","""Altamont""","""""",0.26,528.32,174.15,12892.90,80,95,45,32,40,16,48,55,28,9.91,0.14,1.89,2,2,23022,20522,25517,1,1,1,13051,12018,15352,9780,9100,11727,3260,2906,3612,11,12,14,10,11,12,1.3,1.3,0.08,0.01,1222,65,1272,81,331,3,4120,731,738,703,81,19
"""4701220""","""Andersonville""","""Knoxville, TN""",0.08,205.78,73.61,1035.50,58,67,50,26,33,22,31,35,28,10.34,0.74,2.01,2,2,24280,21613,25516,0,0,0,14379,12629,15051,10942,9569,11438,3436,3060,3611,0,0,2,0,0,1,1.7,1.9,0.23,0.07,2466,76,2338,83,111,15,2684,1001,1037,517,83,17
"""4701480""","""Apison""","""Chattanooga, TN-GA""",1.96,2702.50,1086.28,9138.52,63,75,56,33,42,29,30,33,27,10.45,1.39,1.95,2,2,24622,22157,25281,0,0,0,14123,12403,14551,10638,9265,10971,3485,3137,3578,0,1,2,0,1,1,1.8,4.2,0.17,0.12,3336,88,3379,83,99,16,2319,1300,1477,751,73,27
"""4701640""","""Ardmore""","""""",0.20,302.98,128.94,2934.01,60,70,48,27,34,20,34,37,27,9.53,0.43,1.91,2,2,23641,21206,25006,1,1,1,13761,12118,14658,10398,9099,11101,3346,3002,3539,16,17,18,14,14,15,2.7,1.7,0.37,0.04,1112,71,1059,80,91,12,2258,918,1003,696,72,28
"""4701740""","""Arlington""","""Memphis, TN-MS-AR""",1.73,12190.66,3605.80,14755.49,75,89,66,44,55,39,31,34,27,12.11,3.78,2.03,2,2,25482,22840,25442,0,0,0,14661,12810,14786,11054,9576,11185,3607,3234,3601,0,0,0,0,0,0,1.3,3.6,1.72,0.24,4869,97,4572,84,59,26,2100,1749,1761,1686,86,14
"""4702180""","""Ashland City""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.65,3331.60,1350.68,6785.92,46,55,46,21,26,21,25,29,25,9.41,2.30,1.88,2,2,24415,21832,24269,0,0,0,13691,12442,13590,10234,9352,10154,3456,3090,3435,1,0,1,0,0,0,4.2,4.7,1.42,0.20,3431,64,5041,84,67,22,2425,952,1070,734,64,36
