place,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""2125876""","""Ezel""","""""",0.02,25.50,9.83,567.75,73,87,45,30,38,17,43,49,28,9.44,0.16,1.85,2,2,21931,19633,25643,1,1,1,12689,11724,15353,9568,8926,11708,3105,2780,3629,16,19,15,14,16,13,1.1,1.8,0.08,0.02,1163,75,1140,80,330,6,5378,752,817,537,77,23
"""2126020""","""Fairfield""","""Bardstown, KY""",0.01,16.99,7.07,182.08,58,68,53,27,34,25,31,34,29,10.57,0.41,2.13,2,2,25600,22868,25816,0,0,0,15224,13426,15414,11599,10189,11757,3623,3238,3654,2,0,3,2,0,3,0.7,2.5,0.15,0.04,2497,79,2316,82,301,4,3435,1115,1215,611,83,17
"""2126182""","""Fairview""","""Clarksville, TN-KY""",0.04,44.77,17.95,770.39,56,65,46,23,29,19,33,36,28,10.19,0.24,1.99,2,2,24967,22543,25361,0,0,0,14383,12748,14831,10844,9549,11237,3534,3192,3589,5,7,4,4,6,4,2.2,2.0,0.66,0.02,1643,75,2114,82,254,6,3441,847,950,647,62,38
"""2126236""","""Fairview""","""Cincinnati, OH-KY-IN""",0.27,234.35,82.97,463.28,51,60,52,25,31,26,26,29,26,10.54,3.62,1.98,2,2,24132,21569,24328,1,1,1,14231,12841,14279,10800,9774,10821,3416,3053,3443,15,15,15,12,12,12,2.6,6.2,0.28,0.18,7641,92,8389,85,71,28,2356,1150,1170,216,85,15
"""2126434""","""Falmouth""","""Cincinnati, OH-KY-IN""",1.47,1033.00,445.61,864.23,38,45,39,15,18,15,24,27,24,8.73,9.63,1.83,2,2,22625,20294,22777,0,0,0,13150,11904,13150,9942,9028,9919,3202,2872,3224,5,3,7,4,3,6,4.8,1.9,2.28,0.52,2564,63,2429,83,18,64,1580,678,809,507,56,44
"""2126452""","""Fancy Farm""","""Mayfield, KY""",0.04,65.15,22.66,556.90,67,80,51,31,38,22,36,41,29,11.22,0.46,2.07,2,2,24822,22152,25864,1,1,1,14239,13062,15603,10712,9916,11926,3514,3136,3661,12,10,16,10,9,13,0.5,1.5,0.39,0.04,1520,79,1084,80,276,5,3970,1007,1097,272,89,11
"""2126528""","""Farley""","""Paducah, KY-IL""",3.83,3915.65,1536.85,3797.84,49,56,41,20,26,16,28,31,25,9.18,5.63,1.69,2,2,21640,19215,23245,1,1,1,12290,10611,13248,9199,7861,9927,3063,2721,3290,28,29,31,19,19,21,4.3,5.4,1.25,0.40,4146,62,5436,84,22,47,1632,738,744,576,72,28
"""2126560""","""Farmers""","""""",0.05,102.24,42.51,543.82,60,72,44,26,32,18,34,39,26,9.90,0.77,1.81,2,2,23263,20939,24645,1,1,1,12625,11570,14118,9320,8592,10616,3294,2965,3488,12,13,13,10,11,11,3.5,2.0,0.78,0.08,1530,61,1557,81,142,12,2780,793,886,618,61,39
"""2126614""","""Farmington""","""Mayfield, KY""",0.05,39.78,19.40,986.48,63,76,49,29,36,21,35,40,28,9.93,0.20,1.99,2,2,24280,21789,25301,1,1,1,13731,12614,15084,10279,9514,11487,3438,3085,3581,14,14,16,12,12,14,2.2,1.2,0.54,0.02,1111,73,1042,80,126,6,2766,947,1024,718,75,25
"""2127010""","""Ferguson""","""Somerset, KY""",0.71,733.41,288.65,1338.15,60,71,42,26,33,17,33,38,25,9.41,2.79,1.65,1,2,22097,19911,23781,0,0,0,11644,10559,13348,8515,7739,9982,3129,2819,3366,0,0,0,0,0,0,4.5,6.1,1.22,0.22,4738,77,7099,85,24,54,1217,761,836,608,62,38
"""2127262""","""Fincastle""","""Louisville/Jefferson County, KY-IN""",0.61,1052.15,403.34,136.27,51,61,49,29,36,27,23,25,22,9.08,28.24,1.62,1,2,19980,17593,20353,3,2,3,11696,10403,11902,8831,7879,8982,2828,2490,2881,37,34,39,44,40,46,6.5,6.9,5.70,2.96,14498,45,21090,88,15,105,1156,1217,1509,861,53,47
