place,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""4700200""","""Adams""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",0.07,126.48,41.89,1530.17,54,66,57,26,33,28,27,33,29,12.42,0.35,2.31,2,2,28061,27529,28035,0,0,0,18037,17631,17982,13814,13488,13763,4221,4141,4217,2,2,2,1,1,1,0.9,1.4,0.24,0.03,2575,84,2412,86,168,7,3060,1460,1555,855,88,12
"""4700240""","""Adamsville""","""""",0.53,775.97,292.08,4525.21,55,67,37,20,25,13,35,42,25,8.54,0.81,1.86,2,2,21045,20128,22782,0,0,0,13724,13092,15600,10552,10058,12168,3167,3029,3427,6,6,6,7,7,7,1.9,1.0,0.67,0.06,1748,77,1583,86,71,13,2450,658,796,378,72,28
"""4700440""","""Alamo""","""Jackson, TN""",0.69,710.18,265.68,2570.62,50,61,40,19,24,15,31,37,25,9.36,2.11,1.95,2,2,22014,21185,23276,0,0,0,14392,13838,15816,11074,10645,12309,3313,3188,3501,5,5,5,6,6,7,1.3,1.0,0.87,0.10,1769,84,2106,86,66,19,2182,761,863,578,69,31
"""4700540""","""Alcoa""","""Knoxville, TN""",8.01,12488.06,5154.89,9409.13,48,57,42,23,29,20,25,28,22,6.63,5.36,1.78,2,2,18133,17572,18839,1,1,1,13410,12441,13858,10670,9784,11012,2728,2644,2834,12,13,13,15,16,16,4.6,3.9,1.88,0.55,7440,68,12050,82,15,82,1088,1052,1163,850,64,36
"""4700620""","""Alexandria""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",0.18,320.50,138.73,1296.17,53,65,41,21,26,15,33,39,26,9.49,1.02,1.99,2,2,23556,22775,24747,0,0,0,14869,14305,16346,11318,10872,12617,3545,3427,3723,7,6,7,8,8,8,1.8,1.2,0.61,0.11,2491,73,2079,86,108,14,2338,784,831,657,75,25
"""4700640""","""Algood""","""Cookeville, TN""",0.00,2.77,1.21,2.61,67,82,47,32,40,21,34,41,26,9.02,4.16,1.96,2,2,20896,20253,22491,0,0,0,14415,13886,16257,11130,10700,12716,3144,3048,3383,141,138,158,508,496,567,2.2,2.1,0.69,0.46,4523,82,4929,85,53,77,1471,1124,1250,597,85,15
"""4700940""","""Altamont""","""""",0.27,376.68,124.92,13154.55,61,74,42,21,26,13,40,48,28,11.28,0.11,2.13,2,2,27244,26352,28153,0,0,0,16189,15528,17851,12083,11556,13609,4100,3965,4235,7,6,7,8,8,9,1.1,0.4,0.08,0.01,1891,61,2102,87,331,3,4119,705,739,516,90,10
"""4701220""","""Andersonville""","""Knoxville, TN""",0.02,39.65,15.41,271.29,59,71,52,27,34,24,31,37,28,11.31,0.64,2.21,2,2,26178,25615,27026,0,0,0,17174,16075,17671,13229,12214,13598,3938,3855,4066,7,7,8,9,8,9,1.4,1.6,0.17,0.06,2898,83,2436,85,99,17,3003,1235,1295,845,92,8
"""4701480""","""Apison""","""Chattanooga, TN-GA""",2.40,3650.83,1315.81,10356.72,65,79,56,35,44,30,30,35,26,6.44,1.08,2.09,2,2,23896,23380,24679,1,0,1,16085,14964,16642,12484,11440,12923,3595,3518,3713,6,6,6,7,6,7,1.4,2.4,0.21,0.13,4718,84,4278,84,128,17,2403,1555,1693,682,84,16
"""4701640""","""Ardmore""","""Huntsville, AL""",0.20,365.71,145.38,2999.11,54,65,44,23,29,18,31,36,26,9.57,0.48,2.00,2,2,22884,22260,24189,0,0,0,15441,14289,16304,11992,10933,12659,3442,3350,3639,7,7,7,8,8,9,1.8,1.3,0.36,0.05,2348,78,2180,86,92,12,2288,955,998,792,82,18
