place,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""2100298""","""Adairville""","""""",0.05,47.78,16.40,748.51,56,66,44,21,27,16,34,40,27,11.30,0.25,2.11,2,2,25908,25127,26914,0,0,0,16521,15333,17223,12618,11546,13168,3897,3781,4049,6,5,6,7,7,7,0.7,0.9,0.83,0.02,1985,87,1891,86,182,7,3268,850,935,649,76,24
"""2100514""","""Ages""","""""",0.08,68.09,26.10,359.56,78,92,38,35,44,15,43,48,23,5.72,0.42,1.54,1,2,16635,15718,20034,0,0,0,11259,10076,14682,8749,7647,11661,2503,2422,3014,7,7,7,9,9,8,2.5,1.0,2.80,0.07,1972,66,1610,86,80,14,1501,783,971,330,75,25
"""2100694""","""Albany""","""""",0.14,184.20,78.45,665.17,60,72,35,21,26,11,39,46,24,7.43,0.91,1.69,2,2,19611,18621,22056,0,0,0,12575,11885,15074,9618,9077,11750,2951,2802,3318,6,6,6,8,8,8,2.2,1.0,3.12,0.12,1904,62,2741,86,117,18,1979,565,727,344,66,34
"""2100802""","""Alexandria""","""Cincinnati, OH-KY-IN""",2.68,4825.46,1699.95,4412.43,53,65,54,27,33,27,26,32,27,10.40,4.78,2.18,2,2,23748,23596,24046,1,1,1,16642,16240,16774,13054,12675,13141,3572,3550,3617,16,15,16,14,14,14,1.2,3.5,0.90,0.39,6868,93,7288,83,81,27,2602,1418,1472,573,94,6
"""2101000""","""Allensville""","""""",0.03,29.92,10.65,729.13,66,80,49,29,36,20,37,44,28,0.00,0.00,2.14,2,2,26975,26183,27996,0,0,0,16210,15567,17811,12144,11621,13593,4059,3940,4212,6,6,7,8,8,8,0.3,0.5,0.13,0.01,1955,86,1957,87,316,4,3584,1058,1125,725,84,16
"""2101504""","""Anchorage""","""Louisville/Jefferson County, KY-IN""",2.21,4778.57,1794.48,2167.45,64,79,60,40,50,38,24,29,23,7.89,12.46,1.88,2,2,18576,18552,18809,2,2,2,14049,13637,14276,11218,10809,11410,2794,2791,2829,36,37,37,44,44,44,3.7,6.2,1.53,0.83,16891,68,34989,79,20,50,1392,1967,2208,1079,75,25
"""2101720""","""Anthoston""","""Evansville, IN-KY""",0.01,10.96,4.37,146.88,56,67,49,23,29,20,32,38,29,12.27,0.37,2.21,2,2,28514,27886,29793,0,0,0,17531,16405,18189,13236,12204,13701,4289,4196,4482,6,5,6,7,7,8,0.3,0.5,0.09,0.03,2289,81,1953,87,353,5,5054,1057,1152,753,79,21
"""2101972""","""Arjay""","""Middlesborough, KY""",0.04,35.33,16.40,396.44,76,90,37,29,37,12,47,53,25,7.24,0.30,1.64,2,2,20124,19112,23442,0,0,0,12361,11125,15784,9326,8173,12250,3028,2946,3526,7,6,7,8,8,9,2.1,0.7,0.26,0.04,1829,53,1342,87,201,11,2931,641,681,528,79,21
"""2102044""","""Arlington""","""""",0.04,17.77,9.48,238.92,52,63,40,21,26,15,31,37,25,7.14,0.28,1.90,2,2,20512,19768,22321,0,0,0,13869,13213,15717,10777,10234,12354,3087,2975,3358,5,5,5,6,6,6,2.0,0.3,0.59,0.04,1213,76,1126,88,89,9,1856,782,867,583,76,24
"""2102188""","""Artemus""","""London, KY""",0.41,517.02,184.20,864.37,57,69,36,24,30,14,33,39,22,6.70,1.65,1.63,2,2,17221,16319,18886,0,0,0,11852,11208,13783,9254,8745,10936,2592,2456,2841,7,7,7,9,9,8,4.5,1.8,0.77,0.21,2245,53,2782,85,34,37,1679,718,776,608,66,34
