place,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""2102368""","""Ashland""","""Huntington-Ashland, WV-KY-OH""",16.89,20195.27,8161.93,6938.01,50,61,38,24,30,17,26,31,21,6.84,11.25,1.64,2,2,16811,16535,17360,1,1,1,11814,11334,13080,9281,8843,10467,2530,2488,2611,2,2,2,3,3,3,5.3,5.4,5.77,1.18,8534,73,10814,80,11,162,972,901,1053,669,69,31
"""2102638""","""Auburn""","""""",0.05,93.79,34.56,1168.95,60,71,47,25,31,19,35,40,28,11.48,0.37,2.10,2,2,27014,26285,27973,0,0,0,16620,15445,17313,12550,11483,13098,4064,3955,4208,6,6,7,8,8,8,0.7,1.0,0.36,0.03,2212,76,1968,86,311,6,3550,1001,1120,683,76,24
"""2102656""","""Audubon Park""","""Louisville/Jefferson County, KY-IN""",0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2102674""","""Augusta""","""Cincinnati, OH-KY-IN""",0.79,752.84,295.55,745.93,40,49,41,18,22,18,22,26,22,7.59,5.69,1.86,2,2,18970,18366,19241,0,0,0,13960,13501,14068,11100,10732,11167,2854,2763,2894,6,6,6,7,7,7,3.4,1.5,1.37,0.40,2487,71,2550,86,13,56,2485,952,1102,616,78,22
"""2103376""","""Bancroft""","""Louisville/Jefferson County, KY-IN""",0.45,500.03,194.68,115.44,63,78,60,39,48,36,24,29,23,7.70,13.00,1.93,2,2,18009,17908,18257,3,3,3,14285,13850,14538,11525,11105,11740,2709,2694,2746,51,51,51,62,62,62,3.4,7.3,2.21,1.69,20118,98,25236,78,12,99,1062,1908,1899,2070,95,5
"""2103412""","""Bandana""","""Paducah, KY-IL""",0.05,79.19,30.32,1185.48,62,77,49,29,36,21,34,41,28,11.30,0.40,2.10,2,2,25626,24939,27424,0,0,0,15764,15244,17476,11903,11487,13344,3856,3753,4125,5,5,6,7,6,7,1.2,0.5,0.26,0.03,1745,71,1506,87,187,,4217,1110,1273,385,84,16
"""2103556""","""Barbourmeade""","""Louisville/Jefferson County, KY-IN""",0.70,489.59,230.95,112.01,53,66,51,32,39,30,22,26,21,6.66,14.90,1.74,2,2,16619,16477,16886,2,2,2,12947,12508,13186,10400,9981,10599,2500,2479,2540,47,48,47,56,58,57,5.9,6.6,6.30,2.06,18143,57,23101,79,12,126,1119,1555,1626,662,86,14
"""2103574""","""Barbourville""","""London, KY""",0.03,39.09,14.23,109.96,57,69,36,24,29,13,34,40,22,6.85,1.32,1.66,2,2,17771,16893,19384,0,0,0,12118,11456,14100,9437,8907,11177,2674,2542,2916,7,8,7,9,9,9,3.8,1.7,0.50,0.13,2182,54,2490,85,46,28,2003,706,804,440,70,30
"""2103628""","""Bardstown""","""Bardstown, KY""",4.25,6701.91,2664.06,5203.59,43,52,41,19,24,19,23,28,22,7.68,5.90,1.84,2,2,19113,18501,19444,0,0,0,13900,13432,14088,11017,10641,11155,2875,2783,2925,8,8,8,10,10,10,3.6,2.4,1.98,0.51,4502,70,7092,84,23,56,1516,975,1184,716,62,38
"""2103664""","""Bardwell""","""""",0.03,24.80,9.53,545.43,56,68,43,23,29,17,32,39,26,9.61,0.19,1.97,2,2,23026,22416,24704,0,0,0,14646,14020,16485,11175,10641,12762,3465,3373,3716,6,6,7,8,7,8,1.3,0.9,0.65,0.02,1331,73,1232,86,194,4,3478,872,936,606,85,15
"""2103718""","""Barlow""","""Paducah, KY-IL""",0.01,10.24,4.23,341.36,55,67,44,22,27,16,33,40,28,10.90,0.14,2.06,2,2,25628,24965,27468,0,0,0,15553,14993,17330,11691,11231,13192,3857,3757,4132,5,5,6,7,6,7,0.8,0.6,0.65,0.01,1541,79,1241,87,224,,4491,843,936,596,81,19
"""2104546""","""Beattyville""","""""",0.25,335.69,132.88,1455.14,69,81,33,27,34,11,41,46,22,5.64,0.51,1.42,1,2,15656,14636,19640,0,0,0,10422,9338,13761,8060,7076,10801,2356,2256,2954,6,6,6,8,8,7,3.5,1.1,0.93,0.09,1912,48,2146,86,92,16,2355,578,745,459,53,47
"""2104816""","""Bedford""","""""",0.01,14.55,5.69,176.48,53,64,46,23,29,20,30,35,26,10.57,0.34,2.01,2,2,25041,24550,26031,0,0,0,15791,14687,16410,12015,10985,12485,3767,3694,3916,8,8,9,10,10,11,1.0,2.0,0.42,0.03,2784,66,2713,85,289,7,3443,1029,1150,639,78,22
"""2104978""","""Beech Grove""","""Owensboro, KY""",0.03,36.47,13.95,1184.14,61,74,52,26,32,21,36,42,31,12.91,0.15,2.36,2,2,29554,28895,30804,0,0,0,18559,17293,19318,14107,12940,14678,4446,4348,4634,5,5,6,7,6,7,0.3,0.1,0.07,0.01,1763,79,1983,89,391,3,5454,1117,1184,,95,5
"""2105014""","""Beechmont""","""Central City, KY""",0.35,280.65,108.92,1158.87,60,73,44,24,30,16,36,43,27,9.99,1.16,2.10,2,2,24497,23635,25494,0,0,0,15615,14994,17138,11923,11431,13297,3686,3557,3835,6,6,6,7,7,8,1.4,0.6,0.31,0.09,1785,85,1465,87,94,17,2271,863,897,603,90,10
"""2105068""","""Beechwood Village""","""Louisville/Jefferson County, KY-IN""",0.95,859.78,413.97,167.98,47,58,45,26,33,25,21,25,20,5.93,15.03,1.70,2,2,15105,15078,15323,3,4,3,12485,12018,12732,10144,9678,10358,2272,2268,2305,69,71,69,83,87,83,6.2,8.2,6.23,2.46,24391,69,42517,76,8,125,840,1292,1376,930,84,16
"""2105266""","""Belfry""","""""",0.08,88.08,41.11,465.58,69,84,42,31,38,17,38,46,25,8.89,0.79,1.79,2,2,21226,20485,23969,0,0,0,13351,12741,15903,10151,9652,12290,3194,3083,3606,6,6,7,8,8,9,1.7,1.2,0.50,0.09,2118,68,1742,86,164,15,2380,887,940,722,76,24
"""2105374""","""Bellefonte""","""Huntington-Ashland, WV-KY-OH""",0.88,709.99,279.31,565.15,72,88,54,40,51,29,31,38,25,9.01,5.08,1.94,2,2,21040,20896,21475,1,1,1,14195,13739,15559,11029,10595,12328,3166,3144,3231,0,0,0,0,0,0,1.9,4.7,0.87,0.49,6551,99,7635,81,35,59,1603,1534,1562,1091,94,6
"""2105392""","""Bellemeade""","""Louisville/Jefferson County, KY-IN""",0.90,864.23,428.12,187.59,53,65,50,30,38,28,23,27,22,6.36,14.53,1.83,2,2,16436,16410,16673,2,3,3,13451,12966,13722,10929,10446,11163,2473,2469,2508,50,51,50,61,62,61,4.7,6.6,2.49,2.28,21910,87,38408,79,9,113,943,1486,1458,1871,93,7
"""2105428""","""Belleview""","""Cincinnati, OH-KY-IN""",0.07,122.96,44.00,871.40,52,64,53,24,30,25,28,34,29,12.49,0.63,2.27,2,2,28396,28003,28716,1,0,1,17878,17532,18005,13600,13314,13679,4272,4213,4320,7,6,7,6,6,6,0.1,2.4,0.17,0.05,5004,92,5537,84,361,7,4501,1286,1313,1140,85,15
"""2105446""","""Bellevue""","""Cincinnati, OH-KY-IN""",5.06,5847.95,2524.58,585.82,40,49,41,20,25,21,20,24,21,6.03,33.84,1.76,2,2,14826,14732,15037,3,3,3,12782,12387,12890,10505,10122,10580,2230,2216,2262,47,49,48,42,44,43,6.5,8.2,6.92,4.31,31708,72,63672,76,6,243,710,1076,1176,839,73,27
"""2105464""","""Bellewood""","""Louisville/Jefferson County, KY-IN""",0.28,281.74,147.54,38.10,46,56,43,26,32,24,20,24,19,5.53,21.41,1.62,2,2,14491,14352,14730,4,4,4,11927,11423,12179,9668,9180,9885,2180,2159,2216,79,84,78,96,102,95,6.4,7.9,4.69,3.87,23342,67,33551,77,8,162,856,1257,1428,970,69,31
"""2105662""","""Benham""","""""",0.06,43.51,18.92,149.94,82,97,40,37,47,16,45,50,24,7.63,1.00,1.63,2,2,16876,15881,20347,0,0,0,11820,10674,15030,9275,8220,11963,2540,2448,3061,6,6,6,7,7,8,2.9,1.1,2.33,0.13,1868,85,1423,86,26,32,989,825,887,568,85,15
"""2105824""","""Benton""","""""",1.01,1720.11,745.33,2708.09,44,53,40,20,25,18,24,27,22,6.69,2.28,1.76,2,2,17300,16766,18422,0,0,0,13127,12104,13783,10518,9575,11006,2603,2523,2771,6,6,6,7,8,8,3.1,2.1,1.80,0.28,2367,77,3000,85,23,35,1360,936,974,674,66,34
"""2105842""","""Berea""","""Richmond-Berea, KY""",0.66,859.34,303.75,1470.10,56,67,43,25,31,19,31,36,25,9.68,2.68,1.90,2,2,22427,22074,23062,0,0,0,14761,13674,15483,11387,10351,12013,3374,3322,3469,1,1,1,16,16,16,2.5,1.5,0.93,0.21,3185,73,3407,86,70,29,2120,976,1018,895,68,32
"""2105968""","""Berry""","""""",0.01,10.10,4.16,163.01,56,67,44,24,30,19,31,36,25,9.48,0.24,1.95,2,2,23739,23051,24757,0,0,0,15233,14049,16010,11654,10573,12278,3571,3469,3724,7,7,7,9,9,9,1.2,1.2,0.19,0.03,2413,70,2070,86,206,7,3742,978,1106,729,71,29
"""2106508""","""Big Clifty""","""""",0.07,75.24,28.78,921.95,67,81,44,27,33,16,40,48,27,11.01,0.36,2.02,2,2,26365,25446,27710,0,0,0,15418,14854,17101,11445,11019,12926,3967,3829,4168,6,6,6,7,7,8,0.7,1.1,0.26,0.03,1929,73,1760,86,318,6,5028,859,1010,545,76,24
"""2107264""","""Blaine""","""""",0.01,5.55,2.48,181.56,63,76,37,23,29,12,40,47,25,7.89,0.11,1.74,2,2,21638,20674,23317,0,0,0,13159,12366,15625,9896,9247,12110,3256,3111,3508,7,7,7,9,9,9,1.7,0.8,0.07,0.01,1695,58,1319,86,244,6,3527,639,771,354,76,24
"""2107390""","""Blandville""","""Paducah, KY-IL""",0.01,3.08,1.36,132.09,62,75,49,27,34,20,34,41,28,10.86,0.11,2.12,2,2,25695,25215,27448,0,0,0,15910,15318,17796,12037,11518,13659,3867,3794,4129,6,6,7,8,7,9,1.0,0.7,0.15,0.01,1296,70,1178,87,283,,3811,1063,1063,,100,0
"""2107516""","""Bloomfield""","""Bardstown, KY""",0.08,71.57,30.65,928.65,48,59,47,21,26,20,27,33,27,10.18,0.34,2.11,2,2,25374,24852,25796,0,0,0,16457,15918,16692,12633,12173,12804,3817,3738,3881,8,7,8,9,9,10,0.7,1.5,0.37,0.03,2426,82,2366,86,216,7,3293,1053,1095,911,80,20
"""2107858""","""Blue Ridge Manor""","""Louisville/Jefferson County, KY-IN""",0.14,285.64,125.50,20.19,43,53,41,24,30,22,20,24,19,6.43,50.21,1.54,1,2,15835,15607,16087,3,3,3,11645,11255,11826,9208,8851,9352,2382,2348,2420,54,57,55,66,69,66,7.4,6.1,7.30,6.22,19454,12,36898,80,5,139,831,1167,1088,1103,62,38
"""2108488""","""Bonnieville""","""""",0.03,31.32,13.64,523.57,64,78,43,27,34,17,37,44,26,8.98,0.24,1.90,2,2,23266,22386,25143,0,0,0,14272,13586,16378,10765,10212,12590,3501,3369,3782,6,6,6,8,7,8,0.9,0.7,0.22,0.03,1932,78,1531,87,219,4,3719,866,943,665,73,27
"""2108614""","""Booneville""","""""",0.10,100.12,36.85,925.64,77,93,41,33,41,16,44,52,25,9.92,0.42,1.77,2,2,21812,20775,24347,0,0,0,13330,12693,15836,10042,9561,12167,3282,3126,3663,6,6,6,7,7,8,1.8,1.5,0.20,0.04,1674,64,1675,86,159,10,3237,821,1190,322,71,29
"""2108722""","""Boston""","""Bardstown, KY""",0.04,60.72,22.54,1254.60,56,69,54,27,34,26,29,35,28,11.76,0.21,2.22,2,2,27493,26985,27894,0,0,0,17442,16962,17661,13298,12895,13457,4136,4059,4196,8,7,8,9,9,10,0.3,1.5,0.13,0.02,2653,89,2711,86,260,6,3574,1368,1605,,85,15
"""2108902""","""Bowling Green""","""Bowling Green, KY""",37.98,62093.91,23418.47,22257.16,49,59,40,24,29,19,26,30,21,6.97,11.93,1.69,2,2,17235,16860,17746,1,1,1,12705,11743,13230,10100,9194,10549,2593,2537,2670,12,12,11,34,36,33,5.0,4.2,2.66,1.05,9622,54,16404,82,16,91,1299,977,1036,834,51,49
"""2109100""","""Bradfordsville""","""""",0.01,4.43,2.06,194.95,64,78,44,27,34,18,37,44,27,9.64,0.10,1.95,2,2,24262,23559,25881,0,0,0,14745,14103,16729,11088,10552,12829,3651,3545,3893,7,6,7,8,8,9,1.0,1.1,0.38,0.01,1752,70,1570,86,250,3,3205,918,978,696,84,16
"""2109226""","""Brandenburg""","""Elizabethtown-Fort Knox, KY""",0.06,46.24,21.44,156.02,48,57,42,19,24,17,29,33,25,8.93,1.23,2.02,2,2,22472,21981,23010,0,0,0,15459,14317,15903,12070,11000,12433,3381,3308,3461,9,9,9,11,11,12,2.2,2.3,0.21,0.14,2732,67,3378,85,97,23,2029,878,982,,89,11
"""2109379""","""Breckinridge Center""","""""",0.40,317.67,118.38,1623.98,63,78,50,27,33,20,37,45,30,12.33,0.90,2.29,2,2,27411,26747,28781,0,0,0,17113,16650,18679,12983,12620,14343,4125,4025,4330,5,5,6,6,6,7,0.6,0.7,1.24,0.07,1723,93,2208,87,163,10,2607,1041,1085,0,97,3
"""2109406""","""Bremen""","""Central City, KY""",0.01,25.49,9.43,132.57,61,75,45,24,30,17,37,44,28,11.29,0.80,2.15,2,2,26042,25011,27259,0,0,0,16108,15485,17647,12184,11716,13541,3919,3764,4101,5,5,5,7,6,7,2.0,0.1,0.29,0.07,2049,63,1714,89,146,8,2780,880,969,554,81,19
"""2109532""","""Briarwood""","""Louisville/Jefferson County, KY-IN""",0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2109847""","""Broeck Pointe""","""Louisville/Jefferson County, KY-IN""",0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2109856""","""Bromley""","""Cincinnati, OH-KY-IN""",0.26,307.46,115.49,237.87,38,47,39,16,20,16,22,27,23,7.40,3.59,1.91,2,2,17824,17608,18049,2,2,2,14118,13724,14235,11408,11045,11490,2681,2649,2715,29,30,30,26,26,27,4.0,5.9,3.42,0.49,19413,81,23202,80,14,42,1291,854,932,679,75,25
"""2109964""","""Brooks""","""Louisville/Jefferson County, KY-IN""",1.35,1931.67,715.73,2394.80,51,63,49,26,33,25,25,30,24,8.73,2.69,1.92,2,2,20575,20167,20942,1,1,1,14625,14187,14869,11509,11132,11697,3095,3034,3150,21,21,22,25,25,26,2.4,4.6,0.80,0.30,9017,78,10905,81,54,23,1915,1304,1493,747,76,24
"""2110000""","""Brooksville""","""Cincinnati, OH-KY-IN""",0.03,30.17,12.49,301.53,41,50,42,16,20,16,25,30,25,9.97,0.43,1.99,2,2,25289,24824,25706,0,0,0,15735,15243,15864,11923,11501,11988,3804,3734,3867,8,8,8,10,9,10,1.3,1.7,0.57,0.04,2321,55,2329,85,393,6,3242,852,994,571,70,30
"""2110198""","""Brownsboro Village""","""Louisville/Jefferson County, KY-IN""",0.44,281.51,139.01,47.94,58,71,55,36,45,34,22,27,21,6.22,18.05,1.76,2,2,16083,16072,16308,3,3,3,13030,12565,13288,10549,10084,10773,2419,2418,2453,62,63,62,75,77,75,4.8,7.7,3.63,2.90,22307,87,30275,78,9,128,932,1760,1840,1250,87,13
"""2110324""","""Brownsville""","""Bowling Green, KY""",0.04,51.18,20.62,613.36,55,65,44,21,26,17,33,39,28,10.74,0.39,2.11,2,2,26681,26184,27504,0,0,0,16630,15356,17404,12608,11407,13258,4014,3940,4138,8,8,9,10,10,11,0.2,1.4,0.05,0.03,1937,82,1570,86,454,5,5848,878,904,619,91,9
"""2110612""","""Buckhorn""","""""",0.01,7.81,3.50,215.88,72,88,43,34,42,18,39,46,25,8.29,0.13,1.75,2,2,21022,20336,23725,0,0,0,13102,12418,15885,9932,9351,12309,3163,3060,3569,7,7,7,8,8,9,1.4,1.2,0.22,0.02,1644,65,1388,86,230,6,4108,940,1071,443,80,20
"""2110648""","""Buckner""","""Louisville/Jefferson County, KY-IN""",0.34,613.44,183.05,647.57,49,60,46,25,32,24,24,29,23,8.18,2.46,1.84,2,2,19618,19332,19970,1,1,1,13961,13506,14200,11007,10596,11194,2951,2908,3004,2,2,2,3,3,3,3.7,3.4,2.04,0.28,5087,64,7463,83,34,34,1537,1248,1533,915,61,39
"""2110774""","""Buffalo""","""Elizabethtown-Fort Knox, KY""",0.05,73.44,34.53,697.51,47,56,41,16,21,14,30,35,27,9.72,0.48,2.11,2,2,25277,24639,25926,0,0,0,16441,15247,16906,12632,11532,12999,3803,3708,3900,7,7,7,8,8,9,1.2,0.9,0.15,0.05,2192,77,1678,86,155,10,2824,741,752,694,83,17
"""2111044""","""Burgin""","""""",0.15,128.02,55.42,802.57,48,58,43,20,25,18,28,33,25,9.21,0.71,2.02,2,2,23103,22501,23773,0,0,0,15560,14411,16014,12078,11018,12430,3475,3386,3576,7,7,8,9,9,9,1.5,1.5,0.68,0.07,2638,75,2666,86,106,11,2292,926,1031,710,77,23
"""2111098""","""Burkesville""","""""",0.44,355.58,131.69,1676.74,57,69,35,21,27,12,35,42,23,3.12,0.16,1.69,2,2,19386,18497,21334,0,0,0,12528,11934,14521,9604,9144,11305,2917,2783,3209,6,6,6,8,8,7,2.2,2.4,0.63,0.08,1574,59,2165,84,79,17,2741,632,967,311,61,39
"""2111170""","""Burlington""","""Cincinnati, OH-KY-IN""",4.00,9193.00,3623.00,2159.43,44,54,45,21,26,21,23,28,23,8.57,14.89,1.92,2,2,20399,20091,20636,1,1,1,14564,14211,14660,11479,11172,11539,3069,3022,3104,16,16,16,14,14,15,4.4,4.6,2.47,1.68,11868,53,14709,81,40,72,1336,1113,1183,868,70,30
"""2111188""","""Burna""","""Paducah, KY-IL""",0.02,16.93,7.19,805.67,51,63,41,19,23,14,33,39,27,10.03,0.10,2.02,2,2,25373,24765,27331,0,0,0,15274,14650,17159,11450,10918,13041,3818,3727,4111,6,6,6,7,7,8,0.7,0.4,0.16,0.01,1392,69,1234,87,408,3,5869,721,918,197,81,19
"""2111278""","""Burnside""","""Somerset, KY""",0.02,34.44,14.64,121.12,64,78,43,29,36,18,35,42,25,9.07,1.11,1.87,2,2,22155,21470,23577,0,0,0,13967,13348,15823,10625,10109,12268,3334,3231,3547,8,8,8,10,10,11,2.5,1.7,0.32,0.12,2393,55,1935,85,134,17,3213,955,1020,681,85,15
"""2111854""","""Calhoun""","""Owensboro, KY""",0.03,22.66,10.42,418.77,46,55,39,17,21,14,29,34,26,8.51,0.21,1.98,2,2,23108,22443,24314,0,0,0,15339,14157,16086,11857,10774,12423,3476,3377,3658,6,6,6,7,7,7,1.5,0.6,0.89,0.02,1779,70,1918,87,167,6,3197,720,819,472,72,28
"""2111872""","""California""","""Cincinnati, OH-KY-IN""",0.02,18.65,6.70,115.81,54,67,55,27,33,27,27,33,28,11.28,0.65,2.25,2,2,25747,25309,26049,0,0,0,17366,16982,17493,13486,13168,13567,3873,3807,3919,7,6,7,6,6,6,1.3,2.5,0.19,0.06,4263,86,4070,84,93,13,2818,1428,1511,575,93,7
"""2112016""","""Calvert City""","""""",0.16,128.54,50.21,1456.47,50,61,45,22,27,19,29,33,26,10.31,0.41,2.06,2,2,23047,22458,24342,0,0,0,15787,14670,16487,12314,11285,12820,3467,3379,3662,6,5,6,7,7,7,2.5,0.8,0.25,0.03,1848,72,1837,87,62,19,2108,1004,1061,681,86,14
"""2112052""","""Camargo""","""Mount Sterling, KY""",0.34,542.05,192.13,1406.29,57,70,43,24,30,17,34,40,26,10.39,1.42,2.01,2,2,23790,23017,24878,0,0,0,14994,14433,16458,11407,10962,12708,3580,3464,3742,7,7,7,9,8,9,2.0,1.3,0.64,0.14,2502,68,1981,86,115,11,2888,883,900,814,79,21
"""2112066""","""Cambridge""","""Louisville/Jefferson County, KY-IN""",0.24,335.18,140.59,45.87,44,55,42,24,31,23,20,24,19,6.06,18.57,1.60,2,2,14719,14540,14943,4,4,4,11835,11402,12036,9545,9134,9713,2214,2187,2248,76,81,75,92,98,91,8.2,8.1,4.93,3.07,26836,28,46689,77,9,156,1067,1206,1411,1092,45,55
"""2112142""","""Campbellsburg""","""Louisville/Jefferson County, KY-IN""",0.14,224.10,85.92,849.96,46,56,43,19,23,18,27,33,26,9.95,1.01,2.08,2,2,23751,23120,24221,0,0,0,16020,15568,16266,12440,12084,12616,3573,3478,3644,6,6,7,8,8,8,2.4,1.8,0.51,0.10,2639,75,2642,85,58,19,1663,918,986,764,75,25
"""2112160""","""Campbellsville""","""Campbellsville, KY""",2.47,2078.47,1085.58,1158.15,43,52,31,16,19,10,27,32,20,4.68,7.86,1.58,1,2,15275,14530,16721,0,0,0,11247,10707,12802,8940,8513,10280,2299,2187,2515,8,8,7,10,10,9,4.0,2.6,1.84,0.94,4075,69,5588,84,16,98,1264,539,385,555,52,48
"""2112358""","""Campton""","""""",0.16,277.60,110.81,655.23,70,82,32,31,38,12,39,43,20,5.21,0.88,1.32,1,2,13937,12858,17551,0,0,0,9615,8536,12822,7510,6547,10176,2097,1982,2640,7,8,6,9,9,7,4.6,1.6,0.48,0.17,2000,45,2040,85,56,32,1547,631,894,436,47,53
"""2112538""","""Caneyville""","""""",0.07,73.37,24.71,996.54,69,84,45,29,36,18,40,48,27,10.95,0.34,2.04,2,2,25655,24653,27142,0,0,0,15452,14858,17192,11586,11143,13104,3861,3710,4083,5,5,6,7,6,7,1.2,0.8,0.13,0.02,1692,76,1520,87,192,7,3639,923,1075,533,76,24
"""2112610""","""Cannonsburg""","""Huntington-Ashland, WV-KY-OH""",0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2112898""","""Carlisle""","""""",0.11,150.36,58.55,849.85,60,73,39,24,30,15,36,42,25,8.85,1.10,1.83,2,2,21200,20277,23108,0,0,0,13592,12967,15553,10396,9910,12070,3190,3051,3476,6,6,6,8,8,8,2.2,1.1,1.68,0.07,2201,71,2015,86,95,16,2428,770,915,523,67,33
"""2113024""","""Carrollton""","""""",2.42,2242.61,858.24,1300.39,48,58,35,20,25,14,28,33,22,7.14,5.90,1.69,2,2,17256,16377,18651,0,0,0,12181,11658,13584,9578,9186,10772,2597,2465,2806,6,7,6,8,9,8,5.3,2.1,2.53,0.66,3371,66,3849,85,14,104,1199,725,665,713,53,47
