blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""470370186024""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,544.00,213.00,585.69,83,100,83,56,70,56,27,30,27,11.44,4.16,2.01,2,2,25015,22118,24876,0,0,0,14499,13116,14429,10958,9985,10908,3541,3131,3521,0,0,0,0,0,0,0.3,9.0,0.45,0.36,10972,100,22620,87,117,36,2475,2523,2523,,97,3
"""471490403024""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2437.00,754.00,2298.21,51,60,51,24,30,24,27,31,27,11.52,3.78,2.01,2,2,25170,22504,25024,0,0,0,14522,13197,14431,10960,10012,10889,3562,3185,3542,0,0,0,0,0,0,2.2,3.9,0.73,0.33,5651,87,5720,85,56,26,1706,1079,1105,978,80,20
"""470519602012""","""Tullahoma-Manchester, TN""",1.00,2674.00,1176.00,8713.08,58,68,48,25,31,19,34,37,28,10.22,1.38,1.98,2,2,24404,21934,25863,0,0,0,14244,12521,15146,10790,9415,11484,3454,3106,3661,0,0,1,0,0,1,1.2,1.9,0.39,0.13,2246,94,1927,82,88,14,2347,874,894,782,82,18
"""470010208003""","""Knoxville, TN""",1.00,1799.00,738.00,3681.11,55,65,48,25,32,21,30,33,27,9.32,1.87,1.92,2,2,23658,21030,24884,0,0,0,13781,12049,14461,10431,9072,10935,3349,2978,3522,1,0,4,1,0,3,2.8,2.0,0.33,0.20,3119,71,2525,83,55,41,1843,960,1042,643,80,20
"""470010213025""","""Knoxville, TN""",1.00,1337.00,385.00,2488.19,56,65,48,25,32,22,30,33,27,11.10,1.72,1.92,2,2,23637,21093,24845,0,0,0,13798,12106,14461,10453,9120,10944,3346,2986,3517,0,0,0,0,0,0,2.4,3.4,0.16,0.15,5823,78,5188,85,104,28,2333,969,861,1271,74,26
"""471630432024""","""Kingsport-Bristol-Bristol, TN-VA""",1.00,1901.00,671.00,12795.56,58,70,46,25,32,19,33,38,28,10.30,0.54,1.92,2,2,23145,20608,25238,0,0,1,13196,12075,14900,9916,9156,11324,3277,2918,3572,3,2,4,5,4,8,2.0,2.0,0.18,0.05,2278,71,1765,81,120,9,2562,835,931,441,80,20
"""471890303042""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,3797.00,1453.00,1841.36,56,67,56,29,36,29,27,30,27,10.75,8.48,2.02,2,2,25114,22265,24983,0,0,0,14537,13156,14464,10979,10005,10925,3555,3151,3536,3,0,3,1,0,1,1.0,5.6,1.04,0.79,7432,88,5897,84,84,41,2486,1305,1322,1100,92,8
"""471650212011""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2560.00,864.00,760.00,65,78,65,38,47,38,27,30,27,11.54,13.12,2.02,2,2,24874,21985,24739,0,0,0,14538,13100,14464,11017,9988,10963,3521,3112,3501,0,0,0,0,0,0,1.0,5.2,1.32,1.14,10146,98,8826,86,32,87,1410,1710,1710,,100,0
"""470259706002""",,1.00,2044.00,878.00,16957.79,67,79,47,28,35,18,38,44,29,10.32,0.53,1.96,2,2,23394,20759,25873,0,0,1,13424,12284,15444,10108,9342,11773,3312,2939,3662,4,2,9,3,2,8,0.7,2.3,0.19,0.05,1626,78,1601,81,180,12,3572,817,829,668,92,8
"""471611106002""",,1.00,711.00,337.00,10654.39,58,68,47,25,31,20,33,36,28,8.48,0.27,1.94,2,2,23564,20913,25148,1,1,1,13925,12236,14897,10575,9263,11320,3335,2961,3559,15,12,18,13,11,15,2.2,2.0,0.38,0.03,1142,68,1150,80,84,12,2823,877,955,492,83,17
"""471359301003""",,1.00,965.00,435.00,24640.13,67,80,44,29,36,17,39,45,27,8.52,0.15,1.76,2,2,21808,19455,24693,1,1,1,12180,11191,14447,9067,8411,10927,3088,2754,3495,25,26,25,21,22,21,3.0,2.6,0.60,0.02,1014,57,1056,79,170,7,2808,750,864,488,70,30
"""471019702005""",,1.00,2154.00,889.00,5734.97,61,72,45,25,31,17,36,41,28,10.16,1.58,1.91,2,2,23881,21344,25431,0,0,0,13249,12059,14897,9863,9033,11290,3381,3022,3599,5,4,8,4,3,7,1.9,1.5,0.68,0.16,1454,83,1449,81,46,29,1550,761,818,380,87,13
"""471570211391""","""Memphis, TN-MS-AR""",1.00,2821.00,903.00,1854.07,78,92,69,48,59,42,30,33,27,11.25,5.48,1.99,2,2,24787,21983,24741,0,0,0,14325,12441,14448,10816,9329,10944,3508,3112,3502,1,0,2,1,0,2,0.7,7.4,1.53,0.49,10721,100,10836,85,60,40,1591,1886,1900,1515,96,4
"""470619551002""",,1.00,608.00,225.00,7782.14,87,104,49,41,52,21,46,53,28,8.69,0.25,1.79,2,2,22847,20799,25271,1,1,0,12485,11504,14898,9237,8538,11312,3235,2945,3577,14,21,9,12,18,8,2.7,2.0,0.29,0.03,1278,91,1316,80,59,18,1640,942,1088,655,66,34
"""470799691002""","""Paris, TN""",1.00,938.00,377.00,5508.75,53,63,41,20,25,14,33,38,27,9.34,0.64,1.82,2,2,22712,20506,24864,1,1,1,12615,11561,14449,9375,8631,10907,3216,2903,3519,23,26,23,20,22,20,2.8,2.8,0.78,0.07,1363,80,977,79,70,12,1967,649,698,537,69,31
"""471650209011""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1596.00,587.00,5881.79,52,62,52,25,31,25,27,31,27,10.88,1.09,2.02,2,2,25196,22476,25057,0,0,0,14538,13264,14450,10972,10083,10904,3566,3181,3546,0,0,0,0,0,0,2.5,3.6,0.52,0.10,3546,71,4489,84,105,10,3461,1125,1271,684,75,25
"""470190705001""","""Johnson City, TN""",1.00,1180.00,569.00,1711.58,61,73,48,29,36,21,33,37,27,8.66,2.88,1.84,2,2,22797,20311,24903,0,0,0,12718,11556,14451,9490,8681,10926,3228,2876,3525,0,0,0,0,0,0,2.4,2.8,0.72,0.33,4610,80,3396,84,50,23,1729,934,1031,482,82,18
"""470139510001""","""Knoxville, TN""",1.00,1173.00,462.00,2937.88,53,61,46,22,28,19,30,33,27,10.13,1.59,1.91,2,2,23975,21702,25079,1,1,1,13799,12150,14451,10396,9066,10891,3393,3073,3550,10,12,10,8,10,9,2.4,2.6,0.19,0.16,2825,88,1740,81,98,33,2540,853,1053,463,66,34
"""470919563001""",,1.00,2191.00,955.00,10839.77,66,79,42,27,34,16,39,44,27,9.39,0.83,1.70,2,2,21501,19407,25017,1,1,1,11856,10883,14451,8794,8114,10896,3044,2748,3541,18,21,14,15,18,12,2.8,2.4,0.57,0.09,1419,76,1325,80,79,19,1932,704,792,503,69,31
"""471570213533""","""Memphis, TN-MS-AR""",1.00,2436.00,750.00,1472.59,125,151,111,95,119,84,30,33,27,11.83,6.03,1.99,2,2,24708,21876,24663,0,0,0,14332,12411,14451,10835,9313,10961,3497,3097,3491,0,0,0,0,0,0,1.1,6.2,1.09,0.51,9697,100,10476,86,24,114,1110,3768,3768,,100,0
"""470575003003""","""Knoxville, TN""",1.00,1273.00,560.00,8953.59,52,61,45,21,26,18,31,34,28,9.46,0.59,2.00,2,2,23874,21205,25114,0,0,0,14247,12547,14898,10868,9545,11341,3379,3002,3554,0,0,3,0,0,2,2.6,0.2,0.12,0.06,2407,60,1830,83,160,13,3548,796,891,526,74,26
"""470575002002""","""Knoxville, TN""",1.00,1309.00,508.00,15030.98,56,66,49,25,31,21,31,34,28,10.02,0.34,1.99,2,2,23987,21341,25212,0,0,1,14249,12551,14898,10847,9525,11321,3395,3022,3568,7,4,10,6,3,8,2.2,1.3,0.07,0.03,1788,64,1648,82,179,8,3623,948,1074,542,76,24
"""471239251003""",,1.00,834.00,446.00,3923.48,61,72,43,25,31,16,36,41,27,9.22,1.05,1.80,2,2,23382,21405,25097,0,1,0,12584,11592,14432,9272,8552,10879,3311,3031,3552,1,10,0,1,9,0,3.3,1.2,0.58,0.11,2047,96,1990,82,58,34,1609,732,808,648,52,48
"""470650104111""","""Chattanooga, TN-GA""",1.00,3124.00,1182.00,1449.41,64,75,57,34,43,30,30,32,27,10.85,8.84,1.94,2,2,24156,21468,24859,0,0,0,13980,12157,14432,10551,9115,10900,3419,3040,3519,10,3,14,6,2,9,1.5,4.4,1.42,0.82,7356,91,4399,84,54,51,1948,1348,1429,659,89,11
"""471630436003""","""Kingsport-Bristol-Bristol, TN-VA""",1.00,1698.00,611.00,3140.96,69,82,54,37,46,27,32,36,27,10.97,2.13,1.83,2,2,23075,20601,25150,0,0,0,12698,11517,14433,9430,8600,10872,3267,2917,3560,1,0,2,1,1,4,1.5,6.5,0.51,0.19,4154,94,4183,82,44,21,1798,1210,1153,1633,88,12
"""471870502061""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1909.00,585.00,1014.72,90,109,90,63,79,63,27,30,27,11.84,6.83,2.01,2,2,25233,22361,25097,0,0,0,14509,13092,14434,10937,9927,10882,3571,3165,3552,0,0,0,0,0,0,0.6,7.7,0.71,0.58,8364,100,12586,86,51,38,1994,2851,2851,,98,2
"""471779305003""","""McMinnville, TN""",1.00,1437.00,480.00,2097.02,63,75,45,27,34,18,36,41,27,10.12,2.32,1.84,2,2,23576,21204,25027,0,0,0,12816,11685,14435,9478,8683,10892,3338,3002,3542,0,0,0,0,0,0,3.3,1.4,0.99,0.23,3518,80,4326,85,42,29,1779,804,845,707,70,30
"""470179623002""",,1.00,1288.00,549.00,11762.28,59,71,43,24,30,16,36,41,27,9.50,0.44,1.81,2,2,23097,21039,24976,1,1,1,12620,11645,14435,9329,8640,10882,3270,2979,3535,21,27,17,18,23,15,2.8,1.7,0.50,0.05,1096,78,1016,79,168,7,3008,706,820,563,56,44
"""470719204003""",,1.00,1661.00,700.00,6622.66,68,81,48,32,41,21,36,41,27,8.83,0.93,1.81,2,2,23225,20881,25005,0,0,0,12636,11568,14436,9344,8604,10893,3288,2956,3539,4,7,3,4,6,3,3.3,1.5,1.07,0.11,1827,74,1930,82,66,17,2175,953,1169,507,67,33
"""471439752001""","""Dayton, TN""",1.00,2465.00,858.00,25464.25,66,79,47,29,37,20,37,42,28,10.34,0.35,1.91,2,2,23595,21118,25296,1,1,1,13204,12126,14900,9853,9124,11308,3341,2990,3580,11,11,12,9,10,10,2.0,1.7,0.22,0.03,1490,69,1421,81,191,8,3238,886,964,664,74,26
"""470650114471""","""Chattanooga, TN-GA""",1.00,2205.00,783.00,2661.12,62,73,55,32,40,28,30,33,27,11.09,3.26,1.94,2,2,24464,21837,25154,0,0,0,14044,12261,14488,10580,9169,10922,3463,3092,3560,2,0,6,1,0,4,1.6,4.9,0.90,0.29,4702,88,3982,83,68,18,3020,1262,1207,1561,84,16
"""470999604022""","""Lawrenceburg, TN""",1.00,1233.00,470.00,9571.66,65,78,49,30,37,21,35,41,28,10.57,0.52,1.93,2,2,24192,21795,25443,1,1,1,13394,12300,14904,9956,9199,11289,3425,3086,3601,12,15,13,11,13,11,1.9,2.0,0.23,0.05,1344,80,1240,80,150,9,2903,942,1051,657,72,28
"""470319704002""","""Tullahoma-Manchester, TN""",1.00,2649.00,1008.00,8605.12,59,69,49,27,34,22,32,35,27,10.48,1.23,1.89,2,2,23546,20930,25068,0,0,0,13595,11901,14489,10263,8938,10941,3333,2963,3548,0,0,0,0,0,0,2.5,3.7,0.60,0.12,3492,74,4185,84,70,17,2018,971,1047,672,80,20
"""470930057072""","""Knoxville, TN""",1.00,1333.00,438.00,667.33,84,100,73,54,67,46,30,33,27,11.26,7.39,1.92,2,2,23601,20921,24864,0,0,0,13776,11972,14489,10435,9010,10970,3340,2962,3519,0,0,0,0,0,0,1.6,4.4,1.13,0.66,8979,96,10773,87,32,39,2177,2050,2050,,91,9
"""471839683002""","""Martin, TN""",1.00,1627.00,690.00,9898.70,58,69,43,24,30,16,34,39,27,9.78,0.68,1.83,2,2,22994,20756,24967,1,1,1,12728,11655,14491,9453,8695,10937,3256,2939,3534,20,22,21,17,18,18,2.7,2.8,0.81,0.07,1276,78,1061,79,77,11,2130,740,815,554,71,29
"""471130014012""","""Jackson, TN""",1.00,833.00,355.00,10995.78,57,66,45,23,29,18,33,37,27,9.22,0.30,1.91,2,2,24498,22180,25237,0,0,0,13847,12102,14492,10380,8955,10920,3467,3140,3572,0,7,0,0,6,0,2.0,5.6,0.51,0.03,2415,83,6154,84,131,8,2712,803,784,848,70,30
"""470779752002""",,1.00,1846.00,751.00,30548.07,59,70,45,25,31,18,34,39,27,9.95,0.24,1.88,2,2,23704,21337,24863,1,1,1,13080,12039,14492,9702,8995,10951,3356,3021,3519,21,23,21,18,20,18,2.7,2.3,0.05,0.02,1156,65,1075,79,239,4,3899,810,855,733,63,37
"""470650101012""","""Chattanooga, TN-GA""",1.00,2070.00,708.00,4243.62,58,68,51,28,35,25,30,33,27,10.67,1.78,1.95,2,2,24403,21923,25062,0,0,0,14062,12330,14493,10597,9216,10933,3454,3104,3547,10,10,13,7,7,9,2.1,3.7,0.38,0.17,3747,86,2593,82,76,18,2903,1103,1134,1011,75,25
"""470759305002""",,1.00,860.00,308.00,30328.01,63,75,43,25,32,16,38,44,27,9.98,0.10,1.86,2,2,23462,21125,24683,1,1,1,12925,11913,14497,9582,8897,10981,3322,2991,3494,22,25,23,19,21,19,2.9,2.5,1.24,0.01,1160,61,1100,79,239,4,3803,720,789,608,62,38
"""471890310004""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1866.00,644.00,7626.63,51,60,50,24,29,24,27,31,27,10.69,0.90,2.02,2,2,25131,22443,24999,0,0,0,14563,13303,14476,11001,10125,10932,3557,3177,3538,5,2,5,1,0,2,2.8,2.1,0.83,0.08,1989,65,1993,82,114,12,2366,1061,1185,727,73,27
"""470650102013""","""Chattanooga, TN-GA""",1.00,1370.00,509.00,4316.17,72,85,64,41,52,36,31,34,28,11.06,1.30,2.02,2,2,24498,21674,25217,1,0,1,14457,12624,14902,10971,9547,11310,3467,3069,3569,18,8,23,12,6,16,1.4,3.0,0.25,0.12,2829,74,1915,81,78,15,2834,1614,1614,,93,7
"""471119704002""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2347.00,813.00,22820.04,51,61,51,24,30,24,28,32,28,10.95,0.39,2.09,2,2,25411,22655,25289,1,0,1,14981,13726,14903,11370,10512,11309,3597,3207,3579,14,8,14,12,7,12,1.8,2.2,0.11,0.04,1550,65,1495,81,231,4,3775,1068,1183,655,78,22
"""471439751002""","""Dayton, TN""",1.00,1812.00,761.00,21323.25,64,77,46,29,36,19,35,40,27,10.03,0.36,1.85,2,2,22966,20381,24687,1,1,1,12800,11706,14478,9533,8807,10966,3252,2886,3494,15,13,17,13,11,15,3.1,1.6,0.10,0.04,1612,55,1374,81,122,11,2796,873,929,711,74,26
"""470359707011""","""Crossville, TN""",1.00,1034.00,466.00,1901.68,59,70,46,26,33,19,32,37,27,9.55,2.34,1.79,2,2,22040,19668,24884,0,0,0,12385,11292,14478,9259,8502,10950,3120,2785,3522,6,6,7,5,5,6,2.9,1.4,0.50,0.25,2662,78,1817,82,41,47,2205,850,859,818,77,23
"""470010212011""","""Knoxville, TN""",1.00,1514.00,426.00,900.09,62,72,54,31,38,26,31,34,28,11.18,5.29,1.98,2,2,24189,21475,25458,0,0,0,14190,12365,14903,10766,9324,11300,3424,3040,3603,0,0,0,0,0,0,1.4,2.3,0.93,0.47,5595,94,6141,86,38,55,1582,1163,1163,,93,7
"""470370156102""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,4333.00,1634.00,3248.91,61,74,62,35,43,35,27,30,27,10.75,5.41,2.02,2,2,24873,21942,24743,0,0,0,14537,13155,14467,11013,10050,10962,3520,3106,3502,3,0,3,3,0,2,1.2,5.7,1.31,0.50,8529,82,7703,85,81,30,2988,1557,1542,1803,94,6
"""470590913003""","""Greeneville, TN""",1.00,1469.00,556.00,8860.93,71,84,50,35,43,23,36,41,27,10.30,0.65,1.82,2,2,22776,20315,24849,0,0,1,12628,11518,14468,9396,8634,10940,3225,2876,3517,8,8,10,7,7,9,2.8,3.1,0.27,0.06,2298,69,2084,81,65,12,2025,1019,1155,538,78,22
"""470575004011""","""Knoxville, TN""",1.00,1462.00,566.00,15286.73,47,55,41,17,21,14,30,33,27,9.66,0.36,1.93,2,2,23614,21058,24808,1,1,1,13839,12181,14482,10485,9190,10957,3342,2981,3511,11,9,14,10,8,12,3.0,1.8,0.45,0.04,1696,60,1550,81,130,10,2581,650,716,495,70,30
"""471179551003""","""Lewisburg, TN""",1.00,1227.00,595.00,17997.46,55,64,45,23,28,18,33,36,27,8.69,0.29,1.94,2,2,23924,20947,24616,1,0,1,13941,12209,14469,10540,9236,10967,3386,2966,3484,15,7,18,12,6,16,2.6,2.0,0.06,0.03,1638,39,1742,81,217,6,3710,807,839,642,84,16
"""470650104113""","""Chattanooga, TN-GA""",1.00,1657.00,603.00,692.33,61,71,54,31,38,27,30,33,27,11.23,9.78,1.94,2,2,24435,21807,25128,0,0,0,14035,12235,14483,10574,9148,10920,3459,3087,3557,3,0,7,2,0,4,1.3,4.4,1.04,0.87,6624,94,4413,84,77,65,2171,1204,1272,787,86,14
"""471519752003""",,1.00,1619.00,546.00,11683.93,71,85,44,29,36,16,43,49,28,10.80,0.50,1.86,2,2,23513,20968,25381,0,0,1,12928,11829,14903,9592,8852,11301,3329,2969,3592,7,8,10,6,6,8,1.9,2.4,0.13,0.05,1573,69,1747,81,137,15,2687,721,721,722,82,18
"""471550802021""","""Sevierville, TN""",1.00,3546.00,1312.00,6759.45,64,74,51,31,38,24,33,36,27,10.52,2.04,1.94,2,2,24144,21442,24746,0,0,0,13985,12232,14486,10565,9196,10977,3417,3036,3503,3,0,7,6,0,13,2.8,1.4,0.62,0.19,3805,64,2505,83,84,23,2301,1077,1141,829,79,21
"""470930062022""","""Knoxville, TN""",1.00,2597.00,1015.00,957.70,62,73,54,32,40,27,30,33,27,10.55,11.18,1.91,2,2,23833,21206,25065,0,0,0,13775,12007,14470,10401,9005,10921,3373,3002,3548,0,0,1,0,0,2,1.3,4.1,1.18,1.06,7212,91,5081,84,80,69,2044,1206,1276,768,86,14
"""470779751002""",,1.00,1613.00,652.00,35849.99,59,70,45,25,31,18,34,39,27,10.24,0.19,1.88,2,2,23462,20972,24632,1,1,1,13072,12015,14473,9725,9021,10961,3322,2969,3486,25,25,26,21,21,22,2.7,2.3,0.05,0.02,1433,57,1034,79,266,5,3881,808,950,519,67,33
"""470370186012""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,786.00,293.00,1387.40,99,120,99,72,89,72,27,30,27,10.88,2.30,2.02,2,2,25155,22289,25019,0,0,0,14549,13165,14473,10989,10011,10932,3560,3155,3541,0,0,0,0,0,0,0.8,8.1,0.50,0.21,7887,94,13142,86,63,20,1550,3224,3224,,95,5
"""471019702004""",,1.00,1233.00,496.00,3807.98,61,72,44,26,32,18,35,40,27,9.39,1.22,1.85,2,2,23169,20725,24749,0,0,0,12838,11708,14473,9558,8774,10971,3280,2934,3503,0,0,0,0,0,0,4.0,0.4,0.77,0.13,2280,69,2427,84,33,39,1387,788,882,552,71,29
"""471079701012""","""Athens, TN""",1.00,926.00,469.00,6271.42,58,69,44,24,30,17,34,39,27,8.34,0.62,1.88,2,2,23750,21184,24989,0,0,0,13076,11953,14518,9707,8948,10972,3363,2999,3537,7,6,9,6,5,7,2.7,2.0,0.11,0.07,2017,64,1923,82,118,15,2807,779,779,,74,26
"""470179625001""",,1.00,1170.00,523.00,57956.12,66,79,47,28,35,19,38,43,28,9.43,0.09,1.94,2,2,23273,20804,25257,1,1,1,13337,12291,15147,10020,9323,11548,3295,2945,3575,22,22,24,19,19,20,1.6,2.2,0.05,0.01,915,65,917,79,315,3,4357,834,946,489,76,24
"""471870505022""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1237.00,514.00,17958.20,55,66,55,27,33,27,28,32,28,10.41,0.30,2.13,2,2,25769,23086,25638,0,0,0,15230,13974,15147,11580,10705,11515,3647,3267,3629,3,1,3,2,0,2,1.3,3.3,0.06,0.03,2075,79,2236,82,216,7,2832,1204,1375,570,79,21
