NAME,GEO_ID,Households 2015,Annual Median Household Income 2015,Monthly Median Household Income 2015,Annual Transportation Cost 2015,Monthly Transportation Cost 2015,Annual Housing Cost 2015,Monthly Housing Cost 2015,Annual Housing and Transportation Cost 2015,Monthly Housing and Transportation Cost 2015,Transportation Cost as Percent of Monthly Median Household Income 2015,Transportation Cost as Percent of Annual Median Household Income 2015,Housing Cost as Percent of Monthly Median Household Income 2015,Housing Cost as Percent of Annual Median Household Income 2015,Housing and Transportation Cost as Percent of Monthly Median Household Income 2015,Housing and Transportation Cost as Percent of Annual Median Household Income 2015,Difference Annual Median Household Income and Total Annual Costs 2015,Households 2019,Annual Median Household Income 2019,Monthly Median Household Income 2019,Annual Transportation Cost 2019,Monthly Transportation Cost 2019,Annual Housing Cost 2019,Monthly Housing Cost 2019,Annual Housing and Transportation Cost 2019,Monthly Housing and Transportation Cost 2019,Transportation Cost as Percent of Monthly Median Household Income 2019,Transportation Cost as Percent of Annual Median Household Income 2019,Housing Cost as Percent of Monthly Median Household Income 2019,Housing Cost as Percent of Annual Median Household Income 2019,Housing and Transportation Cost as Percent of Monthly Median Household Income 2019,Housing and Transportation Cost as Percent of Annual Median Household Income 2019,Difference Annual Median Household Income and Total Annual Costs 2019,Change in Annual MHI,Percent Change in Annual MHI,Change in Monthly MHI,Percent Change in Monthly MHI,Change in Annual Transportation Cost,Percent Change in Annual Transportation Cost,Change in Monthly Transportation Cost,Percent Change in Monthly Transportation Cost,Change in Annual Housing and Transportation Cost,Percent Change in Annual Housing and Transportation Cost,Change in Monthly Housing and Transportation Cost,Percent Change in Monthly Housing and Transportation Cost,Change in Difference Annual Median Household Income and Total Annual Costs,Percent Change in Difference Annual Median Household Income and Total Annual Costs
"Stewart County, Tennessee",0500000US47161,5131.0,42023.0,3501.9166666666665,14125.0,1177.0833333333333,10656.0,888.0,24781.0,2065.0833333333335,33.612545510791705,33.612545510791705,25.357542298265233,25.357542298265233,58.97008780905695,58.97008780905695,17242.0,5178.0,45809.0,3817.4166666666665,16408.0,1367.3333333333333,12480.0,1040.0,28888.0,2407.333333333333,35.81828898251435,35.81828898251435,27.243554759981663,27.243554759981663,63.06184374249602,63.061843742496016,16921.0,3786.0,9.00935202151203,315.5,9.00935202151203,2283.0,16.162831858407078,190.25,16.16283185840708,4107.0,16.57318106613938,342.24999999999955,16.57318106613936,-321.0,-1.861732977612806
"Sumner County, Tennessee",0500000US47165,62425.0,57382.0,4781.833333333333,13988.0,1165.6666666666667,15288.0,1274.0,29276.0,2439.6666666666665,24.376982328953332,24.376982328953332,26.642501132759406,26.6425011327594,51.01948346171273,51.01948346171273,28106.0,67089.0,67204.0,5600.333333333333,15684.0,1307.0,16548.0,1379.0,32232.0,2686.0,23.337896553776563,23.33789655377656,24.623534313433726,24.623534313433723,47.96143086721029,47.96143086721029,34972.0,9822.0,17.11686591614095,818.5,17.116865916140952,1696.0,12.124678295682013,141.33333333333326,12.124678295682006,2956.0,10.097007787949174,246.33333333333348,10.097007787949181,6866.0,24.42894755568206
"Trousdale County, Tennessee",0500000US47169,2926.0,41029.0,3419.0833333333335,14791.0,1232.5833333333333,11076.0,923.0,25867.0,2155.5833333333335,36.05011089717029,36.0501108971703,26.995539740183773,26.995539740183773,63.045650637354065,63.045650637354065,15162.0,3189.0,56321.0,4693.416666666667,17217.0,1434.75,12576.0,1048.0,29793.0,2482.75,30.56941460556453,30.56941460556453,22.3291489852808,22.3291489852808,52.89856359084533,52.898563590845335,26528.0,15292.0,37.27119842062931,1274.3333333333335,37.27119842062932,2426.0,16.40186599959435,202.16666666666674,16.401865999594357,3926.0,15.177639463408976,327.1666666666665,15.177639463408967,11366.0,74.96372510222926
"Williamson County, Tennessee",0500000US47187,69478.0,96565.0,8047.083333333333,14070.0,1172.5,23172.0,1931.0,37242.0,3103.5,14.57049655672345,14.57049655672345,23.99627194117952,23.99627194117952,38.56676849790297,38.56676849790296,59323.0,77855.0,112962.0,9413.5,15514.0,1292.8333333333333,25188.0,2099.0,40702.0,3391.833333333333,13.733821993236663,13.733821993236663,22.297763849790197,22.297763849790197,36.03158584302686,36.03158584302686,72260.0,16397.0,16.980272355408275,1366.416666666667,16.980272355408278,1444.0,10.262970859985785,120.33333333333326,10.26297085998578,3460.0,9.290585897642446,288.33333333333303,9.290585897642437,12937.0,21.807730559816598
"Wilson County, Tennessee",0500000US47189,44528.0,61070.0,5089.166666666667,14296.0,1191.3333333333333,15936.0,1328.0,30232.0,2519.3333333333335,23.409202554445717,23.40920255444572,26.094645488783364,26.094645488783364,49.503848043229084,49.503848043229084,30838.0,49664.0,75991.0,6332.583333333333,16005.0,1333.75,17436.0,1453.0,33441.0,2786.75,21.061704675553685,21.061704675553685,22.94482241318051,22.944822413180507,44.0065270887342,44.0065270887342,42550.0,14921.0,24.432618306860977,1243.416666666666,24.432618306860967,1709.0,11.954392837157247,142.41666666666674,11.954392837157254,3209.0,10.61458057687219,267.4166666666665,10.614580576872182,11712.0,37.97911667423309
"Allen County, Kentucky",0500000US21003,7774.0,41326.0,3443.8333333333335,14235.0,1186.25,10116.0,843.0,24351.0,2029.25,34.44562745003146,34.44562745003146,24.4785365145429,24.478536514542903,58.92416396457436,58.92416396457436,16975.0,7605.0,44036.0,3669.6666666666665,16094.0,1341.1666666666667,10116.0,843.0,26210.0,2184.1666666666665,36.54737033336362,36.54737033336361,22.972113725133983,22.97211372513398,59.5194840584976,59.5194840584976,17826.0,2710.0,6.557615060736582,225.83333333333303,6.557615060736572,1859.0,13.059360730593609,154.91666666666674,13.059360730593614,1859.0,7.634183401092358,154.91666666666652,7.63418340109235,851.0,5.013254786450663
"Simpson County, Kentucky",0500000US21213,6793.0,39679.0,3306.5833333333335,13254.0,1104.5,10788.0,899.0,24042.0,2003.5,33.40305955291212,33.40305955291212,27.188185186118602,27.188185186118602,60.591244739030714,60.59124473903073,15637.0,7028.0,48623.0,4051.9166666666665,15110.0,1259.1666666666667,11736.0,978.0,26846.0,2237.1666666666665,31.07582831170434,31.07582831170434,24.13672541801205,24.13672541801205,55.21255372971638,55.21255372971638,21777.0,8944.0,22.540890647445753,745.333333333333,22.540890647445742,1856.0,14.003319752527538,154.66666666666674,14.003319752527545,2804.0,11.662923217702355,233.66666666666652,11.662923217702346,6140.0,39.265843831937076
"Adams city, Tennessee",1600000US4700200,274.0,56667.0,4722.25,15654.0,1304.5,14064.0,1172.0,29718.0,2476.5,27.624543385038912,27.624543385038912,24.818677537190958,24.818677537190958,52.44322092222987,52.44322092222987,26949.0,210.0,55357.0,4613.083333333333,18037.0,1503.0833333333333,17520.0,1460.0,35557.0,2963.083333333333,32.58305182723053,32.58305182723052,31.64911393319725,31.64911393319725,64.23216576042778,64.23216576042778,19800.0,-1310.0,-2.3117511073464274,-109.16666666666697,-2.311751107346434,2383.0,15.222946211830843,198.58333333333326,15.222946211830838,5839.0,19.648024766135002,486.58333333333303,19.648024766134988,-7149.0,-26.527886006901923
"Ashland City town, Tennessee",1600000US4702180,1974.0,39777.0,3314.75,13691.0,1140.9166666666667,11424.0,952.0,25115.0,2092.9166666666665,34.41938808859391,34.41938808859391,28.720114639113053,28.720114639113053,63.13950272770696,63.13950272770696,14662.0,1986.0,48654.0,4054.5,14486.0,1207.1666666666667,12624.0,1052.0,27110.0,2259.1666666666665,29.773502692481607,29.773502692481607,25.946479220619068,25.946479220619068,55.71998191310067,55.71998191310067,21544.0,8877.0,22.316916811222566,739.75,22.316916811222566,795.0,5.806734351033525,66.25,5.806734351033525,1995.0,7.94346008361537,166.25,7.94346008361537,6882.0,46.93766198335834
"Belle Meade city, Tennessee",1600000US4704620,1027.0,201289.0,16774.083333333332,13233.0,1102.75,41448.0,3454.0,54681.0,4556.75,6.574129733865239,6.574129733865239,20.591289141483145,20.59128914148314,27.16541887534838,27.16541887534838,146608.0,853.0,250001.0,20833.416666666668,13904.0,1158.6666666666667,41724.0,3477.0,55628.0,4635.666666666667,5.561577753688985,5.561577753688985,16.689533241867032,16.689533241867032,22.25111099555602,22.25111099555602,194373.0,48712.0,24.20003080148443,4059.3333333333358,24.20003080148445,671.0,5.070656691604322,55.91666666666674,5.070656691604329,947.0,1.7318629871436149,78.91666666666697,1.7318629871436213,47765.0,32.58007748553967
