NAME,GEO_ID,Households 2015,Annual Median Household Income 2015,Monthly Median Household Income 2015,Annual Transportation Cost 2015,Monthly Transportation Cost 2015,Annual Housing Cost 2015,Monthly Housing Cost 2015,Annual Housing and Transportation Cost 2015,Monthly Housing and Transportation Cost 2015,Transportation Cost as Percent of Monthly Median Household Income 2015,Transportation Cost as Percent of Annual Median Household Income 2015,Housing Cost as Percent of Monthly Median Household Income 2015,Housing Cost as Percent of Annual Median Household Income 2015,Housing and Transportation Cost as Percent of Monthly Median Household Income 2015,Housing and Transportation Cost as Percent of Annual Median Household Income 2015,Difference Annual Median Household Income and Total Annual Costs 2015,Households 2019,Annual Median Household Income 2019,Monthly Median Household Income 2019,Annual Transportation Cost 2019,Monthly Transportation Cost 2019,Annual Housing Cost 2019,Monthly Housing Cost 2019,Annual Housing and Transportation Cost 2019,Monthly Housing and Transportation Cost 2019,Transportation Cost as Percent of Monthly Median Household Income 2019,Transportation Cost as Percent of Annual Median Household Income 2019,Housing Cost as Percent of Monthly Median Household Income 2019,Housing Cost as Percent of Annual Median Household Income 2019,Housing and Transportation Cost as Percent of Monthly Median Household Income 2019,Housing and Transportation Cost as Percent of Annual Median Household Income 2019,Difference Annual Median Household Income and Total Annual Costs 2019,Change in Annual MHI,Percent Change in Annual MHI,Change in Monthly MHI,Percent Change in Monthly MHI,Change in Annual Transportation Cost,Percent Change in Annual Transportation Cost,Change in Monthly Transportation Cost,Percent Change in Monthly Transportation Cost,Change in Annual Housing and Transportation Cost,Percent Change in Annual Housing and Transportation Cost,Change in Monthly Housing and Transportation Cost,Percent Change in Monthly Housing and Transportation Cost,Change in Difference Annual Median Household Income and Total Annual Costs,Percent Change in Difference Annual Median Household Income and Total Annual Costs
"Block Group 1, Census Tract 131, Davidson County, Tennessee",470370131001,332.0,59457.0,4954.75,15107.0,1258.9166666666667,13284.0,1107.0,28391.0,2365.9166666666665,25.408278251509497,25.408278251509493,22.34219688178011,22.34219688178011,47.7504751332896,47.750475133289605,31066.0,380.0,49600.0,4133.333333333333,15876.0,1323.0,14628.0,1219.0,30504.0,2542.0,32.00806451612904,32.00806451612903,29.491935483870968,29.491935483870968,61.5,61.5,19096.0,-9857.0,-16.57836755974906,-821.416666666667,-16.57836755974907,769.0,5.090355464354273,64.08333333333326,5.090355464354267,2113.0,7.4424993836074815,176.08333333333348,7.442499383607489,-11970.0,-38.530869761153674
"Block Group 3, Census Tract 156.12, Davidson County, Tennessee",470370156123,1023.0,56083.0,4673.583333333333,11457.0,954.75,12708.0,1059.0,24165.0,2013.75,20.42865039316727,20.42865039316727,22.659272863434555,22.659272863434552,43.087923256601826,43.087923256601826,31918.0,792.0,74464.0,6205.333333333333,14206.0,1183.8333333333333,15168.0,1264.0,29374.0,2447.833333333333,19.07767511817791,19.07767511817791,20.369574559518693,20.369574559518693,39.44724967769661,39.44724967769661,45090.0,18381.0,32.77463759071376,1531.75,32.774637590713766,2749.0,23.9940647638998,229.08333333333326,23.994064763899793,5209.0,21.555969377198426,434.08333333333303,21.555969377198412,13172.0,41.268249890344
"Block Group 3, Census Tract 419, Rutherford County, Tennessee",471490419003,575.0,16641.0,1386.75,11553.0,962.75,9516.0,793.0,21069.0,1755.75,69.4249143681269,69.4249143681269,57.184063457724896,57.184063457724896,126.60897782585181,126.60897782585181,-4428.0,684.0,23590.0,1965.8333333333333,11711.0,975.9166666666666,9516.0,793.0,21227.0,1768.9166666666667,49.64391691394659,49.64391691394659,40.3391267486223,40.33912674862229,89.98304366256889,89.98304366256889,2363.0,6949.0,41.75830779400276,579.0833333333333,41.75830779400276,158.0,1.3676101445511988,13.166666666666629,1.3676101445511948,158.0,0.7499169395794769,13.166666666666742,0.7499169395794812,6791.0,-153.36495031616982
"Block Group 1, Census Tract 108.01, Davidson County, Tennessee",470370108011,1022.0,41070.0,3422.5,11541.0,961.75,10992.0,916.0,22533.0,1877.75,28.10080350620891,28.10080350620891,26.764061358655955,26.764061358655955,54.864864864864856,54.864864864864856,18537.0,880.0,53539.0,4461.583333333333,13661.0,1138.4166666666667,12204.0,1017.0,25865.0,2155.4166666666665,25.51597900595828,25.515979005958272,22.79459833018921,22.79459833018921,48.31057733614748,48.31057733614748,27674.0,12469.0,30.36036036036036,1039.083333333333,30.36036036036035,2120.0,18.36929208907374,176.66666666666674,18.369292089073745,3332.0,14.787200994097546,277.6666666666665,14.787200994097539,9137.0,49.29060797324271
"Block Group 1, Census Tract 189.02, Davidson County, Tennessee",470370189021,481.0,76066.0,6338.833333333333,11552.0,962.6666666666666,13620.0,1135.0,25172.0,2097.6666666666665,15.186811453211686,15.186811453211686,17.9055031157153,17.905503115715298,33.09231456892698,33.09231456892698,50894.0,544.0,58214.0,4851.166666666667,12642.0,1053.5,13536.0,1128.0,26178.0,2181.5,21.716425602088844,21.716425602088847,23.252138660803244,23.252138660803244,44.96856426289209,44.96856426289209,32036.0,-17852.0,-23.4690926300844,-1487.666666666666,-23.469092630084393,1090.0,9.435595567867036,90.83333333333337,9.43559556786704,1006.0,3.9965040521214044,83.83333333333348,3.996504052121412,-18858.0,-37.053483711242976
"Block Group 3, Census Tract 1005, Montgomery County, Tennessee",471251005003,1146.0,47469.0,3955.75,11257.0,938.0833333333334,10020.0,835.0,21277.0,1773.0833333333333,23.71442415049822,23.71442415049822,21.10851292422423,21.10851292422423,44.82293707472245,44.822937074722454,26192.0,1332.0,51449.0,4287.416666666667,11269.0,939.0833333333334,11232.0,936.0,22501.0,1875.0833333333333,21.90324398919318,21.903243989193182,21.831328111333555,21.831328111333555,43.734572100526734,43.734572100526734,28948.0,3980.0,8.384419305230782,331.66666666666697,8.384419305230791,12.0,0.10660033756773563,1.0,0.10660033756773563,1224.0,5.752690698876721,102.0,5.752690698876721,2756.0,10.522296884544899
"Block Group 3, Census Tract 178, Davidson County, Tennessee",470370178003,426.0,52738.0,4394.833333333333,11515.0,959.5833333333334,18600.0,1550.0,30115.0,2509.5833333333335,21.834350942394483,21.83435094239448,35.26868671546134,35.26868671546134,57.10303765785583,57.103037657855815,22623.0,431.0,105425.0,8785.416666666666,11799.0,983.25,10716.0,893.0,22515.0,1876.25,11.191842542091536,11.191842542091536,10.164571970595212,10.16457197059521,21.356414512686744,21.356414512686744,82910.0,52687.0,99.90329553642535,4390.583333333333,99.90329553642535,284.0,2.4663482414242295,23.66666666666663,2.466348241424225,-7600.0,-25.236593059936908,-633.3333333333335,-25.23659305993691,60287.0,266.48543517659016
"Block Group 2, Census Tract 605.01, Dickson County, Tennessee",470430605012,420.0,29837.0,2486.4166666666665,11566.0,963.8333333333334,8220.0,685.0,19786.0,1648.8333333333333,38.7639507993431,38.7639507993431,27.549686630693436,27.549686630693433,66.31363743003654,66.31363743003654,10051.0,237.0,50389.0,4199.083333333333,14446.0,1203.8333333333333,9960.0,830.0,24406.0,2033.8333333333333,28.66895552600766,28.66895552600766,19.76621881759908,19.76621881759908,48.43517434360674,48.43517434360674,25983.0,20552.0,68.88091966350504,1712.6666666666665,68.88091966350504,2880.0,24.90057063807712,239.9999999999999,24.90057063807711,4620.0,23.349843323562112,385.0,23.349843323562116,15932.0,158.51159088647896
"Block Group 3, Census Tract 189.05, Davidson County, Tennessee",470370189053,280.0,44500.0,3708.3333333333335,11599.0,966.5833333333334,12348.0,1029.0,23947.0,1995.5833333333333,26.065168539325846,26.065168539325846,27.74831460674157,27.748314606741577,53.81348314606741,53.81348314606742,20553.0,319.0,56023.0,4668.583333333333,13696.0,1141.3333333333333,14760.0,1230.0,28456.0,2371.333333333333,24.447102083073023,24.447102083073023,26.34632204630241,26.34632204630241,50.79342412937544,50.79342412937543,27567.0,11523.0,25.894382022471913,960.2499999999995,25.894382022471895,2097.0,18.079144753858092,174.7499999999999,18.079144753858078,4509.0,18.829080886958703,375.7499999999998,18.82908088695869,7014.0,34.12640490439352
"Block Group 3, Census Tract 182.02, Davidson County, Tennessee",470370182023,1351.0,58821.0,4901.75,11590.0,965.8333333333334,16656.0,1388.0,28246.0,2353.8333333333335,19.703847265432415,19.703847265432415,28.316417605957056,28.316417605957056,48.02026487138947,48.020264871389465,30575.0,1411.0,54766.0,4563.833333333333,13087.0,1090.5833333333333,19656.0,1638.0,32743.0,2728.583333333333,23.89621297885549,23.89621297885549,35.89088120366651,35.89088120366651,59.787094182522,59.787094182522,22023.0,-4055.0,-6.89379643324663,-337.91666666666697,-6.893796433246637,1497.0,12.916307161345989,124.74999999999989,12.916307161345975,4497.0,15.92083834879275,374.74999999999955,15.92083834879273,-8552.0,-27.97056418642682
"Block Group 1, Census Tract 180, Davidson County, Tennessee",470370180001,458.0,82157.0,6846.416666666667,11531.0,960.9166666666666,21456.0,1788.0,32987.0,2748.9166666666665,14.035322614019499,14.035322614019499,26.11585135776623,26.11585135776623,40.151173971785724,40.151173971785724,49170.0,515.0,137426.0,11452.166666666666,12502.0,1041.8333333333333,15012.0,1251.0,27514.0,2292.833333333333,9.097259616084292,9.097259616084292,10.923697116993871,10.923697116993871,20.02095673307817,20.020956733078165,109912.0,55269.0,67.27241744464865,4605.749999999999,67.27241744464865,971.0,8.420778770271442,80.91666666666663,8.420778770271438,-5473.0,-16.591384484797043,-456.0833333333335,-16.591384484797047,60742.0,123.53467561521252
"Block Group 1, Census Tract 191.16, Davidson County, Tennessee",470370191161,1822.0,42438.0,3536.5,11587.0,965.5833333333334,13092.0,1091.0,24679.0,2056.5833333333335,27.303360196050708,27.303360196050708,30.849710165417786,30.849710165417786,58.153070361468494,58.153070361468494,17759.0,1661.0,51982.0,4331.833333333333,12650.0,1054.1666666666667,14292.0,1191.0,26942.0,2245.1666666666665,24.335346850832984,24.33534685083298,27.494132584356123,27.494132584356123,51.82947943518911,51.82947943518911,25040.0,9544.0,22.489278476836798,795.333333333333,22.489278476836787,1063.0,9.174074393717097,88.58333333333337,9.1740743937171,2263.0,9.169739454597025,188.58333333333303,9.16973945459701,7281.0,40.99893011993919
"Block Group 5, Census Tract 169, Davidson County, Tennessee",470370169005,347.0,,,11577.0,964.75,23772.0,1981.0,35349.0,2945.75,,,,,,,,430.0,138281.0,11523.416666666666,14694.0,1224.5,22752.0,1896.0,37446.0,3120.5,10.62618870271404,10.62618870271404,16.453453475170125,16.453453475170125,27.079642177884168,27.07964217788416,100835.0,,,,,3117.0,26.924073594195384,259.75,26.924073594195384,2097.0,5.932275311890011,174.75,5.932275311890011,,
"Block Group 2, Census Tract 191.06, Davidson County, Tennessee",470370191062,220.0,50938.0,4244.833333333333,11585.0,965.4166666666666,13416.0,1118.0,25001.0,2083.4166666666665,22.743335034748128,22.743335034748124,26.337900977659118,26.337900977659118,49.081236012407246,49.081236012407246,25937.0,171.0,65885.0,5490.416666666667,13049.0,1087.4166666666667,17376.0,1448.0,30425.0,2535.4166666666665,19.80572209152311,19.80572209152311,26.373226075738028,26.373226075738028,46.17894816726113,46.17894816726113,35460.0,14947.0,29.34351564647218,1245.583333333334,29.343515646472195,1464.0,12.637030643072938,122.00000000000011,12.637030643072952,5424.0,21.69513219471221,452.0,21.69513219471221,9523.0,36.7158884990554
"Block Group 1, Census Tract 155.02, Davidson County, Tennessee",470370155021,603.0,35417.0,2951.4166666666665,11625.0,968.75,11112.0,926.0,22737.0,1894.75,32.82322048733659,32.82322048733659,31.37476353163735,31.37476353163735,64.19798401897394,64.19798401897394,12680.0,714.0,43261.0,3605.0833333333335,12017.0,1001.4166666666666,12276.0,1023.0,24293.0,2024.4166666666667,27.777906197267743,27.77790619726775,28.37659785950394,28.376597859503946,56.15450405677169,56.15450405677169,18968.0,7844.0,22.147556258294042,653.666666666667,22.147556258294053,392.0,3.3720430107526878,32.66666666666663,3.3720430107526846,1556.0,6.843470994414391,129.66666666666674,6.843470994414394,6288.0,49.58990536277603
"Block Group 2, Census Tract 105.01, Davidson County, Tennessee",470370105012,536.0,17972.0,1497.6666666666667,11638.0,969.8333333333334,6720.0,560.0,18358.0,1529.8333333333333,64.75628755842422,64.75628755842422,37.391497885599826,37.391497885599826,102.14778544402404,102.14778544402404,-386.0,398.0,44438.0,3703.1666666666665,13283.0,1106.9166666666667,12012.0,1001.0,25295.0,2107.9166666666665,29.89108420721005,29.89108420721005,27.03091948332508,27.03091948332508,56.92200369053513,56.92200369053513,19143.0,26466.0,147.26240819051858,2205.5,147.26240819051856,1645.0,14.13473105344561,137.08333333333337,14.134731053445613,6937.0,37.78734066891818,578.0833333333333,37.787340668918176,19529.0,-5059.326424870466
"Block Group 2, Census Tract 192, Davidson County, Tennessee",470370192002,344.0,61944.0,5162.0,11612.0,967.6666666666666,17364.0,1447.0,28976.0,2414.6666666666665,18.74596409660338,18.745964096603384,28.031770631538162,28.031770631538162,46.777734728141546,46.777734728141546,32968.0,353.0,-666666666.0,-55555555.5,12287.0,1023.9166666666666,16692.0,1391.0,28979.0,2414.9166666666665,-0.001843050001843,-0.001843050001843,-0.0025038000025037,-0.0025038000025037,-0.0043468500043468,-0.0043468500043468,-666695645.0,-666728610.0,-1076340.9046881055,-55560717.5,-1076340.9046881055,675.0,5.812952118498106,56.25,5.812952118498106,3.0,0.010353395913859746,0.25,0.010353395913859746,-666728613.0,-2022350.8038097548
"Block Group 3, Census Tract 169, Davidson County, Tennessee",470370169003,526.0,89464.0,7455.333333333333,11594.0,966.1666666666666,23568.0,1964.0,35162.0,2930.1666666666665,12.95940266475901,12.95940266475901,26.343557185012966,26.343557185012966,39.30295984977197,39.30295984977197,54302.0,582.0,99861.0,8321.75,11399.0,949.9166666666666,25584.0,2132.0,36983.0,3081.9166666666665,11.414866664663885,11.414866664663885,25.61961125965092,25.61961125965092,37.03447792431479,37.03447792431479,62878.0,10397.0,11.621434319949923,866.416666666667,11.621434319949929,-195.0,-1.6819044333275832,-16.25,-1.6819044333275832,1821.0,5.178886297707753,151.75,5.178886297707753,8576.0,15.793156789805163
"Block Group 1, Census Tract 103.02, Maury County, Tennessee",471190103021,1075.0,64034.0,5336.166666666667,15599.0,1299.9166666666667,14208.0,1184.0,29807.0,2483.9166666666665,24.360495986507168,24.360495986507168,22.188212512102943,22.188212512102943,46.54870849861011,46.54870849861011,34227.0,1120.0,80658.0,6721.5,17736.0,1478.0,17244.0,1437.0,34980.0,2915.0,21.98913932901882,21.98913932901882,21.379156438295023,21.379156438295023,43.36829576731384,43.36829576731384,45678.0,16624.0,25.961208108192523,1385.333333333333,25.96120810819252,2137.0,13.69959612795692,178.08333333333326,13.699596127956914,5173.0,17.354983728654343,431.0833333333335,17.35498372865435,11451.0,33.45604347445
"Block Group 2, Census Tract 196, Davidson County, Tennessee",470370196002,1035.0,44273.0,3689.4166666666665,11602.0,966.8333333333334,11316.0,943.0,22918.0,1909.8333333333333,26.205588055925737,26.205588055925734,25.559596142118224,25.559596142118217,51.765184198043954,51.765184198043954,21355.0,1050.0,58026.0,4835.5,12408.0,1034.0,13596.0,1133.0,26004.0,2167.0,21.38351773342984,21.38351773342984,23.430875814290143,23.430875814290143,44.81439354771999,44.81439354771999,32022.0,13753.0,31.064079687394123,1146.0833333333335,31.06407968739413,806.0,6.947078089984486,67.16666666666663,6.947078089984481,3086.0,13.465398376821714,257.16666666666674,13.465398376821716,10667.0,49.95083118707563
"Block Group 1, Census Tract 174.01, Davidson County, Tennessee",470370174011,630.0,40846.0,3403.8333333333335,11637.0,969.75,10644.0,887.0,22281.0,1856.75,28.489937815208343,28.489937815208343,26.058855212260685,26.058855212260685,54.548793027469024,54.54879302746903,18565.0,641.0,48412.0,4034.3333333333335,12725.0,1060.4166666666667,12168.0,1014.0,24893.0,2074.4166666666665,26.28480542014377,26.28480542014377,25.13426423200859,25.13426423200859,51.41906965215235,51.41906965215236,23519.0,7566.0,18.523233609166137,630.5,18.523233609166134,1088.0,9.349488699836728,90.66666666666674,9.349488699836735,2612.0,11.722992684349895,217.66666666666652,11.722992684349887,4954.0,26.684621599784542
"Block Group 2, Census Tract 104.02, Davidson County, Tennessee",470370104022,385.0,20778.0,1731.5,11661.0,971.75,10632.0,886.0,22293.0,1857.75,56.12185965925498,56.12185965925498,51.16950620848974,51.16950620848974,107.29136586774473,107.29136586774473,-1515.0,455.0,51108.0,4259.0,12111.0,1009.25,10548.0,879.0,22659.0,1888.25,23.696877201220943,23.696877201220943,20.63864756985208,20.63864756985208,44.33552477107302,44.33552477107302,28449.0,30330.0,145.97170083742418,2527.5,145.97170083742418,450.0,3.8590172369436586,37.5,3.8590172369436586,366.0,1.6417709594940118,30.5,1.6417709594940118,29964.0,-1977.8217821782177
"Block Group 3, Census Tract 173, Davidson County, Tennessee",470370173003,320.0,31250.0,2604.1666666666665,11681.0,973.4166666666666,10152.0,846.0,21833.0,1819.4166666666667,37.379200000000004,37.379200000000004,32.4864,32.486399999999996,69.8656,69.8656,9417.0,295.0,58024.0,4835.333333333333,13457.0,1121.4166666666667,17100.0,1425.0,30557.0,2546.4166666666665,23.192127395560465,23.19212739556046,29.47056390459121,29.4705639045912,52.662691300151664,52.662691300151664,27467.0,26774.0,85.6768,2231.1666666666665,85.6768,1776.0,15.204177724509888,148.0000000000001,15.2041777245099,8724.0,39.95786195209087,726.9999999999998,39.95786195209086,18050.0,191.67463098651376
"Block Group 3, Census Tract 211.07, Sumner County, Tennessee",471650211073,985.0,46607.0,3883.9166666666665,11676.0,973.0,12228.0,1019.0,23904.0,1992.0,25.052030810822412,25.052030810822405,26.23640225717167,26.23640225717167,51.28843306799408,51.28843306799408,22703.0,1303.0,57364.0,4780.333333333333,12244.0,1020.3333333333334,15540.0,1295.0,27784.0,2315.333333333333,21.34439718290217,21.34439718290217,27.09016107663343,27.09016107663343,48.434558259535606,48.4345582595356,29580.0,10757.0,23.08022400068659,896.4166666666665,23.080224000686588,568.0,4.864679684823569,47.33333333333337,4.864679684823574,3880.0,16.231593038821952,323.33333333333303,16.23159303882194,6877.0,30.29115094921376
"Block Group 2, Census Tract 211.06, Sumner County, Tennessee",471650211062,848.0,33804.0,2817.0,11688.0,974.0,11304.0,942.0,22992.0,1916.0,34.575789847355345,34.575789847355345,33.43982960596379,33.43982960596379,68.01561945331913,68.01561945331913,10812.0,776.0,38750.0,3229.1666666666665,11185.0,932.0833333333334,13608.0,1134.0,24793.0,2066.083333333333,28.864516129032257,28.864516129032257,35.11741935483872,35.11741935483871,63.98193548387098,63.98193548387097,13957.0,4946.0,14.631404567506804,412.1666666666665,14.631404567506797,-503.0,-4.303559206023272,-41.91666666666663,-4.303559206023268,1801.0,7.833159359777314,150.08333333333303,7.833159359777298,3145.0,29.08805031446541
"Block Group 2, Census Tract 509.05, Williamson County, Tennessee",471870509052,581.0,63161.0,5263.416666666667,11674.0,972.8333333333334,16584.0,1382.0,28258.0,2354.8333333333335,18.482924589541014,18.482924589541014,26.25670904513861,26.256709045138614,44.73963363467963,44.73963363467963,34903.0,594.0,75714.0,6309.5,11957.0,996.4166666666666,15468.0,1289.0,27425.0,2285.4166666666665,15.792323744617905,15.792323744617905,20.4295110547587,20.4295110547587,36.2218347993766,36.2218347993766,48289.0,12553.0,19.87460616519688,1046.083333333333,19.87460616519687,283.0,2.4241905088230253,23.583333333333258,2.424190508823018,-833.0,-2.9478377804515534,-69.41666666666697,-2.9478377804515663,13386.0,38.35200412571985
"Block Group 6, Census Tract 117, Davidson County, Tennessee",470370117006,330.0,63115.0,5259.583333333333,11675.0,972.9166666666666,13572.0,1131.0,25247.0,2103.9166666666665,18.497979878000475,18.497979878000475,21.503604531410918,21.503604531410918,40.001584409411386,40.001584409411386,37868.0,329.0,68552.0,5712.666666666667,14174.0,1181.1666666666667,0.0,0.0,14174.0,1181.1666666666667,20.676274944567627,20.676274944567627,0.0,0.0,20.676274944567627,20.676274944567627,54378.0,5437.0,8.614433969737782,453.08333333333394,8.614433969737792,2499.0,21.404710920770878,208.2500000000001,21.40471092077089,-11073.0,-43.85867627836971,-922.7499999999998,-43.8586762783697,16510.0,43.59881694306538
"Block Group 1, Census Tract 119, Davidson County, Tennessee",470370119001,222.0,43750.0,3645.8333333333335,11660.0,971.6666666666666,14556.0,1213.0,26216.0,2184.6666666666665,26.65142857142857,26.65142857142857,33.27085714285714,33.27085714285714,59.92228571428571,59.922285714285714,17534.0,370.0,56179.0,4681.583333333333,11734.0,977.8333333333334,18732.0,1561.0,30466.0,2538.833333333333,20.886808237953687,20.886808237953684,33.343420139197924,33.343420139197924,54.23022837715161,54.2302283771516,25713.0,12429.0,28.409142857142854,1035.7499999999995,28.409142857142843,74.0,0.6346483704974271,6.1666666666667425,0.6346483704974348,4250.0,16.211473909063166,354.1666666666665,16.211473909063162,8179.0,46.64651534162199
"Block Group 1, Census Tract 109.04, Davidson County, Tennessee",470370109041,786.0,23081.0,1923.4166666666667,11678.0,973.1666666666666,10200.0,850.0,21878.0,1823.1666666666667,50.595728088037774,50.59572808803778,44.19219271262077,44.19219271262077,94.78792080065855,94.78792080065855,1203.0,871.0,22207.0,1850.5833333333333,12081.0,1006.75,12120.0,1010.0,24201.0,2016.75,54.40176520916828,54.40176520916828,54.577385509073714,54.577385509073714,108.979150718242,108.979150718242,-1994.0,-874.0,-3.78666435596378,-72.83333333333348,-3.786664355963788,403.0,3.450933379003254,33.58333333333337,3.4509333790032577,2323.0,10.617972392357618,193.58333333333326,10.617972392357615,-3197.0,-265.7522859517872
"Block Group 3, Census Tract 509.05, Williamson County, Tennessee",471870509053,708.0,66378.0,5531.5,11695.0,974.5833333333334,13704.0,1142.0,25399.0,2116.5833333333335,17.61878935791979,17.61878935791979,20.64539455843804,20.64539455843804,38.26418391635783,38.26418391635783,40979.0,644.0,90595.0,7549.583333333333,12593.0,1049.4166666666667,18612.0,1551.0,31205.0,2600.4166666666665,13.900325625034496,13.900325625034494,20.54418014239197,20.54418014239196,34.444505767426456,34.444505767426456,59390.0,24217.0,36.48347343999518,2018.083333333333,36.48347343999517,898.0,7.6784950833689605,74.83333333333337,7.678495083368965,5806.0,22.85916768376708,483.83333333333303,22.859167683767062,18411.0,44.92788989482418
"Block Group 4, Census Tract 113, Davidson County, Tennessee",470370113004,411.0,27118.0,2259.8333333333335,11665.0,972.0833333333334,9252.0,771.0,20917.0,1743.0833333333333,43.015709123091675,43.015709123091675,34.117560292056936,34.117560292056936,77.1332694151486,77.1332694151486,6201.0,450.0,28019.0,2334.9166666666665,12291.0,1024.25,9684.0,807.0,21975.0,1831.25,43.86666190799101,43.86666190799101,34.562261322673905,34.5622613226739,78.42892323066492,78.4289232306649,6044.0,901.0,3.322516409764732,75.08333333333303,3.3225164097647184,626.0,5.366480925846549,52.16666666666663,5.366480925846545,1058.0,5.05808672371755,88.16666666666674,5.0580867237175555,-157.0,-2.5318497016610224
"Block Group 3, Census Tract 183.01, Davidson County, Tennessee",470370183013,1093.0,32697.0,2724.75,11678.0,973.1666666666666,13332.0,1111.0,25010.0,2084.1666666666665,35.71581490656635,35.71581490656635,40.774382970914765,40.774382970914765,76.49019787748111,76.49019787748111,7687.0,1709.0,60299.0,5024.916666666667,12110.0,1009.1666666666666,16344.0,1362.0,28454.0,2371.1666666666665,20.083251795220484,20.083251795220487,27.104927113219123,27.104927113219123,47.1881789084396,47.18817890843961,31845.0,27602.0,84.41753066030523,2300.166666666667,84.41753066030525,432.0,3.699263572529543,36.0,3.699263572529543,3444.0,13.77049180327869,287.0,13.77049180327869,24158.0,314.2708468843502
"Block Group 2, Census Tract 110.01, Davidson County, Tennessee",470370110012,570.0,19302.0,1608.5,11671.0,972.5833333333334,9456.0,788.0,21127.0,1760.5833333333333,60.465236763029736,60.465236763029736,48.98974199564812,48.98974199564812,109.45497875867784,109.45497875867787,-1825.0,736.0,35149.0,2929.083333333333,12569.0,1047.4166666666667,11700.0,975.0,24269.0,2022.4166666666667,35.759196563202366,35.759196563202366,33.28686449116618,33.28686449116618,69.04606105436855,69.04606105436855,10880.0,15847.0,82.10030048699618,1320.583333333333,82.10030048699615,898.0,7.694284979864621,74.83333333333337,7.694284979864626,3142.0,14.871964784399111,261.8333333333335,14.87196478439912,12705.0,-696.1643835616438
"Block Group 2, Census Tract 138, Davidson County, Tennessee",470370138002,371.0,26917.0,2243.0833333333335,11697.0,974.75,9708.0,809.0,21405.0,1783.75,43.45580859679756,43.45580859679756,36.06642642196381,36.06642642196382,79.52223501876136,79.52223501876138,5512.0,406.0,37083.0,3090.25,12159.0,1013.25,10548.0,879.0,22707.0,1892.25,32.78860933581426,32.78860933581426,28.44430062292695,28.44430062292695,61.2329099587412,61.2329099587412,14376.0,10166.0,37.767953338039156,847.1666666666665,37.76795333803915,462.0,3.949730700179533,38.5,3.949730700179533,1302.0,6.082690960056062,108.5,6.082690960056062,8864.0,160.81277213352683
"Block Group 1, Census Tract 156.20, Davidson County, Tennessee",470370156201,673.0,28325.0,2360.4166666666665,11677.0,973.0833333333334,11520.0,960.0,23197.0,1933.0833333333333,41.22506619593999,41.22506619593998,40.670785525154464,40.67078552515446,81.89585172109443,81.89585172109443,5128.0,733.0,32708.0,2725.6666666666665,12864.0,1072.0,12936.0,1078.0,25800.0,2150.0,39.32982756512168,39.32982756512168,39.54995719701602,39.54995719701602,78.8797847621377,78.8797847621377,6908.0,4383.0,15.473962930273611,365.25,15.473962930273611,1187.0,10.165282178641775,98.91666666666663,10.16528217864177,2603.0,11.22127861361383,216.91666666666674,11.221278613613833,1780.0,34.71138845553822
"Block Group 1, Census Tract 404.03, Rutherford County, Tennessee",471490404031,182.0,,,11722.0,976.8333333333334,8784.0,732.0,20506.0,1708.8333333333333,,,,,,,,232.0,39955.0,3329.583333333333,14492.0,1207.6666666666667,11496.0,958.0,25988.0,2165.6666666666665,36.27080465523714,36.27080465523714,28.772368915029407,28.772368915029407,65.04317357026655,65.04317357026656,13967.0,,,,,2770.0,23.63077973042143,230.83333333333337,23.630779730421434,5482.0,26.73363893494587,456.83333333333326,26.733638934945862,,
"Block Group 3, Census Tract 156.13, Davidson County, Tennessee",470370156133,25.0,,,11732.0,977.6666666666666,,,,,,,,,,,,14.0,-666666666.0,-55555555.5,11565.0,963.75,0.0,0.0,11565.0,963.75,-0.0017347500017347,-0.0017347500017347,-0.0,-0.0,-0.0017347500017347,-0.0017347500017347,-666678231.0,,,,,-167.0,-1.4234572110467099,-13.916666666666629,-1.423457211046706,,,,,,
"Block Group 2, Census Tract 107, Maury County, Tennessee",471190107002,580.0,21746.0,1812.1666666666667,11752.0,979.3333333333334,9168.0,764.0,20920.0,1743.3333333333333,54.0421226892302,54.0421226892302,42.159477605076795,42.159477605076795,96.20160029430699,96.201600294307,826.0,444.0,23735.0,1977.9166666666667,11454.0,954.5,8544.0,712.0,19998.0,1666.5,48.257847061301874,48.257847061301874,35.99747208763429,35.9974720876343,84.25531914893617,84.25531914893617,3737.0,1989.0,9.146509702933873,165.75,9.146509702933873,-298.0,-2.5357385976855005,-24.83333333333337,-2.535738597685504,-922.0,-4.407265774378585,-76.83333333333326,-4.4072657743785815,2911.0,352.42130750605327
"Block Group 2, Census Tract 156.14, Davidson County, Tennessee",470370156142,1120.0,50852.0,4237.666666666667,11710.0,975.8333333333334,12372.0,1031.0,24082.0,2006.8333333333333,23.027609533548336,23.027609533548336,24.3294265712263,24.329426571226303,47.357036104774636,47.35703610477464,26770.0,1088.0,62417.0,5201.416666666667,14673.0,1222.75,15012.0,1251.0,29685.0,2473.75,23.50801864876556,23.50801864876556,24.05113991380553,24.05113991380553,47.55915856257109,47.5591585625711,32732.0,11565.0,22.742468339495005,963.75,22.742468339495005,2963.0,25.303159692570453,246.91666666666663,25.30315969257045,5603.0,23.266340004982975,466.91666666666674,23.26634000498298,5962.0,22.27119910347404
