NAME,GEO_ID,Households,Annual Median Household Income,Monthly Median Household Income,Annual Transportation Cost,Monthly Transportation Cost,Annual Housing Cost,Monthly Housing Cost,Annual Housing and Transportation Cost,Monthly Housing and Transportation Cost,Transportation Cost as Percent of Monthly Median Household Income,Transportation Cost as Percent of Annual Median Household Income,Housing Cost as Percent of Monthly Median Household Income,Housing Cost as Percent of Annual Median Household Income,Housing and Transportation Cost as Percent of Monthly Median Household Income,Housing and Transportation Cost as Percent of Annual Median Household Income
"Block Group 1, Census Tract 182.03, Davidson County, Tennessee",470370182031,265.0,219821.0,18318.416666666668,15682.0,1306.8333333333333,35604.0,2967.0,51286.0,4273.833333333333,7.133986288844104,7.133986288844104,16.19681468103593,16.196814681035935,23.330800969880038,23.330800969880038
"Block Group 2, Census Tract 183.01, Davidson County, Tennessee",470370183012,264.0,69583.0,5798.583333333333,16677.0,1389.75,15624.0,1302.0,32301.0,2691.75,23.96706092005231,23.96706092005231,22.45376025753417,22.453760257534167,46.42082117758648,46.42082117758648
"Block Group 1, Census Tract 183.02, Davidson County, Tennessee",470370183021,1071.0,96576.0,8048.0,17293.0,1441.0833333333333,19380.0,1615.0,36673.0,3056.0833333333335,17.90610503644798,17.90610503644798,20.067097415506957,20.067097415506957,37.97320245195494,37.97320245195493
"Block Group 3, Census Tract 185, Davidson County, Tennessee",470370185003,245.0,250001.0,20833.416666666668,14830.0,1235.8333333333333,45468.0,3789.0,60298.0,5024.833333333333,5.931976272094911,5.931976272094912,18.187127251490992,18.187127251490995,24.119103523585903,24.119103523585906
"Block Group 1, Census Tract 187, Davidson County, Tennessee",470370187001,351.0,248750.0,20729.166666666668,15191.0,1265.9166666666667,39900.0,3325.0,55091.0,4590.916666666667,6.106934673366834,6.106934673366834,16.040201005025125,16.040201005025125,22.14713567839196,22.14713567839196
"Block Group 4, Census Tract 186.02, Davidson County, Tennessee",470370186024,248.0,164063.0,13671.916666666666,15362.0,1280.1666666666667,30624.0,2552.0,45986.0,3832.1666666666665,9.363476225596266,9.363476225596266,18.666000255999222,18.666000255999222,28.029476481595484,28.029476481595484
"Block Group 1, Census Tract 186.01, Davidson County, Tennessee",470370186011,574.0,206250.0,17187.5,15372.0,1281.0,40836.0,3403.0,56208.0,4684.0,7.453090909090909,7.453090909090909,19.799272727272726,19.799272727272726,27.252363636363636,27.252363636363636
"Block Group 1, Census Tract 186.02, Davidson County, Tennessee",470370186021,390.0,199063.0,16588.583333333332,15074.0,1256.1666666666667,30732.0,2561.0,45806.0,3817.1666666666665,7.572477055002688,7.572477055002688,15.438328569347393,15.438328569347393,23.01080562435008,23.01080562435008
"Block Group 2, Census Tract 186.01, Davidson County, Tennessee",470370186012,292.0,155417.0,12951.416666666666,15282.0,1273.5,38928.0,3244.0,54210.0,4517.5,9.832901162678471,9.832901162678471,25.04745298133409,25.04745298133409,34.88035414401256,34.88035414401256
"Block Group 2, Census Tract 187, Davidson County, Tennessee",470370187002,619.0,192981.0,16081.75,15409.0,1284.0833333333333,40560.0,3380.0,55969.0,4664.083333333333,7.984723884734766,7.984723884734766,21.017613132899093,21.017613132899093,29.002337017633856,29.002337017633863
"Block Group 2, Census Tract 185, Davidson County, Tennessee",470370185002,285.0,205139.0,17094.916666666668,13810.0,1150.8333333333333,45312.0,3776.0,59122.0,4926.833333333333,6.7320207274092185,6.73202072740922,22.08843759597151,22.08843759597151,28.820458323380727,28.82045832338073
"Block Group 5, Census Tract 188.01, Davidson County, Tennessee",470370188015,205.0,100089.0,8340.75,15282.0,1273.5,22284.0,1857.0,37566.0,3130.5,15.268411114108444,15.268411114108444,22.264184875460842,22.264184875460842,37.53259598956929,37.53259598956929
"Block Group 2, Census Tract 188.03, Davidson County, Tennessee",470370188032,1062.0,96667.0,8055.583333333333,14051.0,1170.9166666666667,24876.0,2073.0,38927.0,3243.9166666666665,14.535467119078902,14.535467119078898,25.73370436653667,25.73370436653667,40.269171485615566,40.269171485615566
"Block Group 4, Census Tract 188.01, Davidson County, Tennessee",470370188014,334.0,94184.0,7848.666666666667,14490.0,1207.5,24120.0,2010.0,38610.0,3217.5,15.384778730994647,15.38477873099465,25.60944534103457,25.60944534103457,40.99422407202922,40.99422407202922
"Block Group 2, Census Tract 188.01, Davidson County, Tennessee",470370188012,221.0,79554.0,6629.5,14389.0,1199.0833333333333,21396.0,1783.0,35785.0,2982.0833333333335,18.08708550167182,18.087085501671822,26.894939286522362,26.894939286522362,44.98202478819419,44.98202478819418
"Block Group 1, Census Tract 188.01, Davidson County, Tennessee",470370188011,342.0,123963.0,10330.25,14812.0,1234.3333333333333,20472.0,1706.0,35284.0,2940.3333333333335,11.948726636173697,11.948726636173697,16.51460516444423,16.51460516444423,28.46333180061793,28.463331800617926
"Block Group 4, Census Tract 185, Davidson County, Tennessee",470370185004,375.0,210486.0,17540.5,14733.0,1227.75,41016.0,3418.0,55749.0,4645.75,6.999515407200479,6.999515407200479,19.486331632507625,19.486331632507625,26.485847039708105,26.485847039708105
"Block Group 2, Census Tract 186.02, Davidson County, Tennessee",470370186022,223.0,154028.0,12835.666666666666,15001.0,1250.0833333333333,46500.0,3875.0,61501.0,5125.083333333333,9.739138338483912,9.739138338483912,30.18931622821825,30.189316228218242,39.92845456670216,39.92845456670216
"Block Group 1, Census Tract 185, Davidson County, Tennessee",470370185001,264.0,250001.0,20833.416666666668,14072.0,1172.6666666666667,46560.0,3880.0,60632.0,5052.666666666667,5.62877748489006,5.62877748489006,18.62392550429798,18.623925504297983,24.252702989188045,24.252702989188045
"Block Group 3, Census Tract 186.02, Davidson County, Tennessee",470370186023,699.0,202577.0,16881.416666666668,16463.0,1371.9166666666667,38424.0,3202.0,54887.0,4573.916666666667,8.126786357780004,8.126786357780004,18.967602442528026,18.967602442528026,27.09438880030803,27.09438880030803
