NAME,GEO_ID,Households,Annual Median Household Income,Monthly Median Household Income,Annual Transportation Cost,Monthly Transportation Cost,Annual Housing Cost,Monthly Housing Cost,Annual Housing and Transportation Cost,Monthly Housing and Transportation Cost,Transportation Cost as Percent of Monthly Median Household Income,Transportation Cost as Percent of Annual Median Household Income,Housing Cost as Percent of Monthly Median Household Income,Housing Cost as Percent of Annual Median Household Income,Housing and Transportation Cost as Percent of Monthly Median Household Income,Housing and Transportation Cost as Percent of Annual Median Household Income
"Waverly city, Tennessee",1600000US4778560,1730.0,40122.0,3343.5,13736.0,1144.6666666666667,10512.0,876.0,24248.0,2020.6666666666667,34.235581476496684,34.235581476496684,26.20008972633468,26.20008972633468,60.435671202831365,60.435671202831365
"Westmoreland town, Tennessee",1600000US4779420,990.0,41179.0,3431.5833333333335,15056.0,1254.6666666666667,11076.0,923.0,26132.0,2177.6666666666665,36.56232545715049,36.56232545715049,26.897204885985577,26.897204885985577,63.45953034313606,63.45953034313606
"White Bluff town, Tennessee",1600000US4779980,1306.0,44250.0,3687.5,16133.0,1344.4166666666667,12732.0,1061.0,28865.0,2405.4166666666665,36.458757062146894,36.45875706214689,28.772881355932206,28.772881355932206,65.2316384180791,65.2316384180791
"White House city, Tennessee",1600000US4780200,4345.0,78041.0,6503.416666666667,16494.0,1374.5,16020.0,1335.0,32514.0,2709.5,21.135044399738597,21.135044399738597,20.527671352237924,20.527671352237924,41.66271575197653,41.66271575197653
"Fort Knox CDP, Kentucky",1600000US2128540,2473.0,59323.0,4943.583333333333,12451.0,1037.5833333333333,13380.0,1115.0,25831.0,2152.5833333333335,20.988486758929923,20.988486758929923,22.554489826879966,22.554489826879962,43.542976585809896,43.54297658580989
"Franklin city, Kentucky",1600000US2128918,3413.0,42620.0,3551.6666666666665,14149.0,1179.0833333333333,10500.0,875.0,24649.0,2054.0833333333335,33.19802909432191,33.19802909432191,24.636320976067573,24.636320976067573,57.8343500703895,57.83435007038948
"Scottsville city, Kentucky",1600000US2169114,1701.0,30802.0,2566.8333333333335,13583.0,1131.9166666666667,6408.0,534.0,19991.0,1665.9166666666667,44.097785858061165,44.097785858061165,20.80384390623985,20.803843906239855,64.90162976430102,64.90162976430102
"Block Group 2, Census Tract 1009, Montgomery County, Tennessee",471251009002,551.0,31632.0,2636.0,13570.0,1130.8333333333333,10176.0,848.0,23746.0,1978.8333333333333,42.89959534648457,42.89959534648457,32.16995447647951,32.16995447647951,75.06954982296409,75.06954982296409
"Block Group 2, Census Tract 1018.04, Montgomery County, Tennessee",471251018042,1102.0,102171.0,8514.25,18071.0,1505.9166666666667,20112.0,1676.0,38183.0,3181.9166666666665,17.68701490638244,17.687014906382437,19.684646328214463,19.684646328214463,37.3716612345969,37.37166123459691
"Block Group 1, Census Tract 1013.07, Montgomery County, Tennessee",471251013071,982.0,42336.0,3528.0,13726.0,1143.8333333333333,11280.0,940.0,25006.0,2083.8333333333335,32.42157974300831,32.421579743008316,26.643990929705215,26.643990929705215,59.06557067271353,59.06557067271353
"Block Group 1, Census Tract 1013.04, Montgomery County, Tennessee",471251013041,959.0,48073.0,4006.0833333333335,14216.0,1184.6666666666667,11844.0,987.0,26060.0,2171.6666666666665,29.57169305015289,29.57169305015289,24.637530422482474,24.637530422482477,54.20922347263536,54.20922347263537
"Block Group 3, Census Tract 1018.02, Montgomery County, Tennessee",471251018023,461.0,73125.0,6093.75,17096.0,1424.6666666666667,12924.0,1077.0,30020.0,2501.6666666666665,23.3791452991453,23.3791452991453,17.673846153846153,17.673846153846153,41.05299145299145,41.052991452991456
"Block Group 4, Census Tract 1017, Montgomery County, Tennessee",471251017004,711.0,48352.0,4029.3333333333335,17288.0,1440.6666666666667,14616.0,1218.0,31904.0,2658.6666666666665,35.754467240238256,35.754467240238256,30.228325612177365,30.228325612177365,65.98279285241561,65.98279285241561
"Block Group 1, Census Tract 1011.02, Montgomery County, Tennessee",471251011021,532.0,45694.0,3807.8333333333335,16304.0,1358.6666666666667,14604.0,1217.0,30908.0,2575.6666666666665,35.68083336980785,35.68083336980785,31.960432441896092,31.960432441896092,67.64126581170393,67.64126581170395
"Block Group 2, Census Tract 1010.02, Montgomery County, Tennessee",471251010022,705.0,55585.0,4632.083333333333,14766.0,1230.5,11256.0,938.0,26022.0,2168.5,26.564720698030047,26.564720698030044,20.25006746424395,20.25006746424395,46.814788162274,46.814788162274
"Block Group 2, Census Tract 1018.02, Montgomery County, Tennessee",471251018022,1103.0,106118.0,8843.166666666666,16050.0,1337.5,18444.0,1537.0,34494.0,2874.5,15.124672534348557,15.124672534348555,17.380651727322416,17.380651727322416,32.50532426167097,32.50532426167097
"Block Group 1, Census Tract 1012.02, Montgomery County, Tennessee",471251012021,701.0,66688.0,5557.333333333333,15076.0,1256.3333333333333,13632.0,1136.0,28708.0,2392.3333333333335,22.606765834932823,22.606765834932823,20.441458733205376,20.441458733205376,43.0482245681382,43.048224568138195
"Block Group 1, Census Tract 1015, Montgomery County, Tennessee",471251015001,448.0,54369.0,4530.75,17197.0,1433.0833333333333,13344.0,1112.0,30541.0,2545.0833333333335,31.63015689087531,31.630156890875316,24.543397892181208,24.543397892181208,56.173554783056524,56.173554783056524
"Block Group 4, Census Tract 1015, Montgomery County, Tennessee",471251015004,707.0,56484.0,4707.0,17465.0,1455.4166666666667,14652.0,1221.0,32117.0,2676.4166666666665,30.920260604773038,30.92026060477303,25.940089228808162,25.940089228808162,56.86034983358119,56.86034983358119
"Block Group 2, Census Tract 1008, Montgomery County, Tennessee",471251008002,256.0,25313.0,2109.4166666666665,12806.0,1067.1666666666667,8856.0,738.0,21662.0,1805.1666666666667,50.59060561766682,50.5906056176668,34.98597558566745,34.98597558566745,85.57658120333427,85.57658120333426
"Block Group 1, Census Tract 1019.03, Montgomery County, Tennessee",471251019031,2005.0,57917.0,4826.416666666667,13400.0,1116.6666666666667,13500.0,1125.0,26900.0,2241.6666666666665,23.13655748743892,23.13655748743892,23.309218364210853,23.309218364210853,46.44577585164977,46.44577585164977
"Block Group 1, Census Tract 1019.04, Montgomery County, Tennessee",471251019041,1623.0,103385.0,8615.416666666666,17972.0,1497.6666666666667,22236.0,1853.0,40208.0,3350.6666666666665,17.383566281375444,17.383566281375444,21.50795569956957,21.50795569956957,38.89152198094501,38.89152198094501
"Block Group 1, Census Tract 1018.02, Montgomery County, Tennessee",471251018021,1476.0,75975.0,6331.25,17018.0,1418.1666666666667,16848.0,1404.0,33866.0,2822.1666666666665,22.399473511023363,22.399473511023363,22.175715695952615,22.175715695952615,44.57518920697598,44.57518920697598
"Block Group 1, Census Tract 1014, Montgomery County, Tennessee",471251014001,0.0,-666666666.0,-55555555.5,,,,,,,,,,,,
"Block Group 2, Census Tract 1005, Montgomery County, Tennessee",471251005002,602.0,27447.0,2287.25,10720.0,893.3333333333334,3744.0,312.0,14464.0,1205.3333333333333,39.05709184974679,39.05709184974678,13.640835063941415,13.640835063941415,52.6979269136882,52.6979269136882
"Block Group 1, Census Tract 1019.02, Montgomery County, Tennessee",471251019021,876.0,90667.0,7555.583333333333,15388.0,1282.3333333333333,15636.0,1303.0,31024.0,2585.3333333333335,16.971996426483727,16.971996426483727,17.245524832629293,17.245524832629293,34.21752125911302,34.21752125911302
"Block Group 2, Census Tract 1020.01, Montgomery County, Tennessee",471251020012,1129.0,52768.0,4397.333333333333,14171.0,1180.9166666666667,12216.0,1018.0,26387.0,2198.9166666666665,26.855291085506373,26.855291085506366,23.150394178289872,23.150394178289872,50.00568526379624,50.00568526379624
"Block Group 1, Census Tract 1004, Montgomery County, Tennessee",471251004001,703.0,36632.0,3052.6666666666665,11758.0,979.8333333333334,8940.0,745.0,20698.0,1724.8333333333333,32.09761956759118,32.09761956759118,24.40489189779428,24.40489189779428,56.50251146538545,56.50251146538545
"Block Group 1, Census Tract 1011.03, Montgomery County, Tennessee",471251011031,904.0,57500.0,4791.666666666667,16971.0,1414.25,13872.0,1156.0,30843.0,2570.25,29.51478260869565,29.51478260869565,24.125217391304346,24.12521739130435,53.64,53.64
"Block Group 1, Census Tract 1020.04, Montgomery County, Tennessee",471251020041,2334.0,54679.0,4556.583333333333,14871.0,1239.25,13008.0,1084.0,27879.0,2323.25,27.196912891603723,27.196912891603723,23.789754750452644,23.78975475045264,50.986667642056375,50.98666764205636
"Block Group 2, Census Tract 1004, Montgomery County, Tennessee",471251004002,484.0,24663.0,2055.25,13878.0,1156.5,8916.0,743.0,22794.0,1899.5,56.270526699914846,56.270526699914846,36.15131979077971,36.15131979077971,92.42184649069456,92.42184649069456
"Block Group 1, Census Tract 1010.02, Montgomery County, Tennessee",471251010021,559.0,54102.0,4508.5,16404.0,1367.0,11964.0,997.0,28368.0,2364.0,30.32050571143396,30.32050571143396,22.113785072640567,22.113785072640567,52.43429078407452,52.43429078407452
"Block Group 4, Census Tract 1011.02, Montgomery County, Tennessee",471251011024,651.0,40888.0,3407.3333333333335,13965.0,1163.75,9744.0,812.0,23709.0,1975.75,34.1542750929368,34.1542750929368,23.830952846801015,23.83095284680102,57.98522793973782,57.98522793973782
"Block Group 2, Census Tract 1012.02, Montgomery County, Tennessee",471251012022,927.0,51292.0,4274.333333333333,13949.0,1162.4166666666667,11520.0,960.0,25469.0,2122.4166666666665,27.195274116821338,27.195274116821338,22.45964282929112,22.45964282929112,49.65491694611245,49.65491694611245
"Block Group 1, Census Tract 1013.05, Montgomery County, Tennessee",471251013051,1838.0,64957.0,5413.083333333333,16365.0,1363.75,14568.0,1214.0,30933.0,2577.75,25.19358960543129,25.19358960543129,22.4271441107194,22.4271441107194,47.62073371615069,47.62073371615068
"Block Group 2, Census Tract 1006.02, Montgomery County, Tennessee",471251006022,660.0,51827.0,4318.916666666667,13644.0,1137.0,12336.0,1028.0,25980.0,2165.0,26.326046269319082,26.326046269319082,23.802265228548826,23.802265228548826,50.128311497867905,50.128311497867905
"Block Group 1, Census Tract 1011.01, Montgomery County, Tennessee",471251011011,1009.0,44077.0,3673.0833333333335,12970.0,1080.8333333333333,11448.0,954.0,24418.0,2034.8333333333333,29.42577761644395,29.42577761644395,25.97272954148422,25.97272954148422,55.398507157928165,55.398507157928165
"Block Group 3, Census Tract 1011.02, Montgomery County, Tennessee",471251011023,1120.0,42316.0,3526.3333333333335,14983.0,1248.5833333333333,11664.0,972.0,26647.0,2220.5833333333335,35.407410908403435,35.40741090840344,27.564041969940444,27.56404196994045,62.97145287834389,62.97145287834389
"Block Group 3, Census Tract 1014, Montgomery County, Tennessee",471251014003,1284.0,57188.0,4765.666666666667,12125.0,1010.4166666666666,17508.0,1459.0,29633.0,2469.4166666666665,21.202000419668458,21.20200041966846,30.6148142967056,30.6148142967056,51.81681471637406,51.81681471637406
"Block Group 2, Census Tract 1015, Montgomery County, Tennessee",471251015002,1075.0,79329.0,6610.75,17984.0,1498.6666666666667,13836.0,1153.0,31820.0,2651.6666666666665,22.67014584830264,22.67014584830264,17.441288809892978,17.441288809892978,40.11143465819561,40.11143465819561
"Block Group 3, Census Tract 1016, Montgomery County, Tennessee",471251016003,735.0,81531.0,6794.25,17039.0,1419.9166666666667,14460.0,1205.0,31499.0,2624.9166666666665,20.898799229740835,20.898799229740835,17.735585237517018,17.735585237517018,38.634384467257846,38.63438446725785
"Block Group 1, Census Tract 1017, Montgomery County, Tennessee",471251017001,442.0,70862.0,5905.166666666667,17110.0,1425.8333333333333,12312.0,1026.0,29422.0,2451.8333333333335,24.145522282746747,24.145522282746747,17.374615449747395,17.374615449747395,41.52013773249414,41.52013773249414
"Block Group 2, Census Tract 1020.02, Montgomery County, Tennessee",471251020022,572.0,71923.0,5993.583333333333,15503.0,1291.9166666666667,18072.0,1506.0,33575.0,2797.9166666666665,21.554996315504084,21.55499631550408,25.126871793445773,25.126871793445773,46.68186810894985,46.68186810894985
"Block Group 1, Census Tract 1005, Montgomery County, Tennessee",471251005001,434.0,40909.0,3409.0833333333335,12939.0,1078.25,13392.0,1116.0,26331.0,2194.25,31.62873695274878,31.62873695274878,32.73607274682833,32.73607274682833,64.36480969957711,64.36480969957711
"Block Group 2, Census Tract 1013.04, Montgomery County, Tennessee",471251013042,684.0,58874.0,4906.166666666667,14514.0,1209.5,14520.0,1210.0,29034.0,2419.5,24.65264802799198,24.652648027991983,24.662839283894417,24.66283928389442,49.3154873118864,49.3154873118864
"Block Group 1, Census Tract 1006.02, Montgomery County, Tennessee",471251006021,674.0,36625.0,3052.0833333333335,10968.0,914.0,11100.0,925.0,22068.0,1839.0,29.946757679180884,29.946757679180884,30.30716723549488,30.30716723549488,60.253924914675764,60.25392491467577
"Block Group 1, Census Tract 1016, Montgomery County, Tennessee",471251016001,849.0,62250.0,5187.5,17159.0,1429.9166666666667,14184.0,1182.0,31343.0,2611.9166666666665,27.56465863453815,27.56465863453815,22.7855421686747,22.7855421686747,50.35020080321285,50.35020080321285
"Block Group 2, Census Tract 1017, Montgomery County, Tennessee",471251017002,695.0,54427.0,4535.583333333333,17548.0,1462.3333333333333,14664.0,1222.0,32212.0,2684.3333333333335,32.241350800154336,32.241350800154336,26.942510151211717,26.942510151211714,59.18386095136605,59.18386095136605
"Block Group 2, Census Tract 1018.03, Montgomery County, Tennessee",471251018032,555.0,98549.0,8212.416666666666,17800.0,1483.3333333333333,21192.0,1766.0,38992.0,3249.3333333333335,18.062080792296218,18.062080792296218,21.504023379232667,21.504023379232663,39.566104171528885,39.566104171528885
"Block Group 2, Census Tract 1020.05, Montgomery County, Tennessee",471251020052,195.0,58507.0,4875.583333333333,17917.0,1493.0833333333333,18948.0,1579.0,36865.0,3072.0833333333335,30.623686054660126,30.623686054660126,32.385868357632425,32.38586835763242,63.00955441229256,63.009554412292545
"Block Group 2, Census Tract 1007, Montgomery County, Tennessee",471251007002,321.0,35938.0,2994.8333333333335,13286.0,1107.1666666666667,8736.0,728.0,22022.0,1835.1666666666667,36.96922477600312,36.96922477600312,24.30853135956369,24.30853135956369,61.277756135566804,61.277756135566804
"Block Group 2, Census Tract 1011.02, Montgomery County, Tennessee",471251011022,694.0,57500.0,4791.666666666667,16256.0,1354.6666666666667,11916.0,993.0,28172.0,2347.6666666666665,28.27130434782609,28.27130434782609,20.723478260869562,20.723478260869566,48.994782608695644,48.99478260869565
"Block Group 3, Census Tract 1013.04, Montgomery County, Tennessee",471251013043,582.0,23816.0,1984.6666666666667,11449.0,954.0833333333334,11244.0,937.0,22693.0,1891.0833333333333,48.07272421901243,48.07272421901243,47.21195834732953,47.21195834732953,95.28468256634196,95.28468256634196
"Block Group 1, Census Tract 1020.06, Montgomery County, Tennessee",471251020061,3009.0,73446.0,6120.5,17470.0,1455.8333333333333,16728.0,1394.0,34198.0,2849.8333333333335,23.786183046047434,23.786183046047434,22.775917000245077,22.775917000245077,46.562100046292514,46.562100046292514
"Block Group 1, Census Tract 1018.04, Montgomery County, Tennessee",471251018041,1336.0,82370.0,6864.166666666667,15551.0,1295.9166666666667,17544.0,1462.0,33095.0,2757.9166666666665,18.879446400388492,18.879446400388492,21.29901663226903,21.29901663226903,40.17846303265752,40.17846303265752
"Block Group 2, Census Tract 1003, Montgomery County, Tennessee",471251003002,806.0,47324.0,3943.6666666666665,14753.0,1229.4166666666667,11796.0,983.0,26549.0,2212.4166666666665,31.17445693517032,31.174456935170312,24.926041754712198,24.926041754712198,56.10049868988251,56.100498689882514
"Block Group 5, Census Tract 1017, Montgomery County, Tennessee",471251017005,774.0,63077.0,5256.416666666667,16394.0,1366.1666666666667,17016.0,1418.0,33410.0,2784.1666666666665,25.990456109199865,25.990456109199865,26.97655246761894,26.97655246761894,52.967008576818806,52.967008576818806
"Block Group 2, Census Tract 1019.03, Montgomery County, Tennessee",471251019032,1334.0,110500.0,9208.333333333334,16219.0,1351.5833333333333,16164.0,1347.0,32383.0,2698.5833333333335,14.677828054298642,14.677828054298642,14.628054298642532,14.628054298642535,29.305882352941175,29.305882352941175
"Block Group 3, Census Tract 1020.05, Montgomery County, Tennessee",471251020053,609.0,43938.0,3661.5,12431.0,1035.9166666666667,10008.0,834.0,22439.0,1869.9166666666667,28.292138923027903,28.292138923027903,22.777550184350677,22.777550184350677,51.06968910737858,51.06968910737858
"Block Group 1, Census Tract 1009, Montgomery County, Tennessee",471251009001,593.0,32488.0,2707.3333333333335,12372.0,1031.0,7680.0,640.0,20052.0,1671.0,38.08175326274316,38.08175326274317,23.63949766067471,23.63949766067471,61.72125092341787,61.721250923417884
"Block Group 1, Census Tract 1010.01, Montgomery County, Tennessee",471251010011,474.0,50268.0,4189.0,13608.0,1134.0,11604.0,967.0,25212.0,2101.0,27.070899976127954,27.070899976127954,23.08426832179518,23.08426832179518,50.15516829792313,50.15516829792313
"Block Group 3, Census Tract 1017, Montgomery County, Tennessee",471251017003,310.0,66786.0,5565.5,17858.0,1488.1666666666667,15336.0,1278.0,33194.0,2766.1666666666665,26.739136944868687,26.739136944868687,22.962896415416402,22.962896415416402,49.702033360285085,49.70203336028509
"Block Group 1, Census Tract 1020.05, Montgomery County, Tennessee",471251020051,1200.0,63724.0,5310.333333333333,13089.0,1090.75,12888.0,1074.0,25977.0,2164.75,20.540141861778924,20.54014186177892,20.224719101123597,20.224719101123593,40.764860962902524,40.76486096290252
"Block Group 1, Census Tract 1013.03, Montgomery County, Tennessee",471251013031,724.0,37427.0,3118.9166666666665,12130.0,1010.8333333333334,10692.0,891.0,22822.0,1901.8333333333333,32.40975766158121,32.40975766158121,28.567611617281642,28.567611617281642,60.97736927886286,60.97736927886286
"Block Group 1, Census Tract 1018.03, Montgomery County, Tennessee",471251018031,2153.0,75750.0,6312.5,13698.0,1141.5,16596.0,1383.0,30294.0,2524.5,18.08316831683168,18.08316831683168,21.90891089108911,21.90891089108911,39.992079207920796,39.992079207920796
"Block Group 1, Census Tract 1020.01, Montgomery County, Tennessee",471251020011,950.0,54213.0,4517.75,15121.0,1260.0833333333333,12060.0,1005.0,27181.0,2265.0833333333335,27.891834061940862,27.891834061940862,22.2455868518621,22.2455868518621,50.13742091380296,50.13742091380296
"Block Group 1, Census Tract 1002, Montgomery County, Tennessee",471251002001,208.0,31579.0,2631.5833333333335,12137.0,1011.4166666666666,6132.0,511.0,18269.0,1522.4166666666667,38.4337692770512,38.433769277051205,19.417967636720604,19.417967636720608,57.85173691377181,57.85173691377181
"Block Group 3, Census Tract 1003, Montgomery County, Tennessee",471251003003,657.0,59609.0,4967.416666666667,15001.0,1250.0833333333333,8976.0,748.0,23977.0,1998.0833333333333,25.165662903252862,25.165662903252866,15.058128806052776,15.058128806052778,40.22379170930564,40.22379170930564
"Block Group 3, Census Tract 1015, Montgomery County, Tennessee",471251015003,558.0,39302.0,3275.1666666666665,16220.0,1351.6666666666667,13656.0,1138.0,29876.0,2489.6666666666665,41.270164368225544,41.27016436822554,34.74632334232355,34.74632334232355,76.01648771054909,76.01648771054909
"Block Group 3, Census Tract 1020.02, Montgomery County, Tennessee",471251020023,2058.0,64056.0,5338.0,15593.0,1299.4166666666667,14064.0,1172.0,29657.0,2471.4166666666665,24.342762582740104,24.3427625827401,21.95578868490071,21.95578868490071,46.29855126764081,46.29855126764081
"Block Group 1, Census Tract 1012.01, Montgomery County, Tennessee",471251012011,908.0,36136.0,3011.3333333333335,12604.0,1050.3333333333333,10236.0,853.0,22840.0,1903.3333333333333,34.87934469780827,34.87934469780828,28.326322780606596,28.3263227806066,63.205667478414874,63.205667478414874
"Block Group 1, Census Tract 1013.06, Montgomery County, Tennessee",471251013061,432.0,69500.0,5791.666666666667,16082.0,1340.1666666666667,12240.0,1020.0,28322.0,2360.1666666666665,23.13956834532374,23.13956834532374,17.611510791366904,17.611510791366907,40.75107913669064,40.75107913669065
"Block Group 2, Census Tract 1016, Montgomery County, Tennessee",471251016002,440.0,67344.0,5612.0,15419.0,1284.9166666666667,10008.0,834.0,25427.0,2118.9166666666665,22.895877880731767,22.895877880731767,14.861012116892375,14.861012116892375,37.756889997624135,37.756889997624135
"Block Group 1, Census Tract 1020.03, Montgomery County, Tennessee",471251020031,2275.0,58977.0,4914.75,15975.0,1331.25,14352.0,1196.0,30327.0,2527.25,27.0868304593316,27.0868304593316,24.334910219238008,24.334910219238008,51.42174067856962,51.42174067856962
"Block Group 1, Census Tract 1008, Montgomery County, Tennessee",471251008001,499.0,22218.0,1851.5,10612.0,884.3333333333334,8904.0,742.0,19516.0,1626.3333333333333,47.76307498424701,47.763074984247005,40.07561436672968,40.07561436672968,87.83868935097668,87.83868935097668
"Block Group 4, Census Tract 1018.02, Montgomery County, Tennessee",471251018024,1012.0,71216.0,5934.666666666667,17630.0,1469.1666666666667,15684.0,1307.0,33314.0,2776.1666666666665,24.755672882498313,24.755672882498313,22.023140867220846,22.02314086722085,46.77881374971916,46.77881374971917
"Block Group 3, Census Tract 1019.03, Montgomery County, Tennessee",471251019033,401.0,59908.0,4992.333333333333,16099.0,1341.5833333333333,14868.0,1239.0,30967.0,2580.5833333333335,26.872871736662884,26.872871736662884,24.81805435000334,24.818054350003337,51.690926086666224,51.690926086666224
"Block Group 1, Census Tract 1020.02, Montgomery County, Tennessee",471251020021,493.0,76182.0,6348.5,16663.0,1388.5833333333333,14772.0,1231.0,31435.0,2619.5833333333335,21.872620829067234,21.872620829067234,19.390407182799084,19.390407182799084,41.26302801186632,41.26302801186632
"Block Group 2, Census Tract 1014, Montgomery County, Tennessee",471251014002,326.0,53382.0,4448.5,11981.0,998.4166666666666,14868.0,1239.0,26849.0,2237.4166666666665,22.4438949458619,22.4438949458619,27.852084972462627,27.852084972462627,50.29597991832453,50.29597991832453
"Block Group 1, Census Tract 1001, Montgomery County, Tennessee",471251001001,404.0,36515.0,3042.9166666666665,9703.0,808.5833333333334,10080.0,840.0,19783.0,1648.5833333333333,26.57264138025469,26.57264138025469,27.605093797069696,27.605093797069696,54.17773517732438,54.17773517732438
"Block Group 2, Census Tract 1013.06, Montgomery County, Tennessee",471251013062,855.0,52422.0,4368.5,15477.0,1289.75,13296.0,1108.0,28773.0,2397.75,29.52386402655374,29.52386402655374,25.36339704704132,25.36339704704132,54.88726107359505,54.88726107359505
"Block Group 1, Census Tract 1006.01, Montgomery County, Tennessee",471251006011,846.0,60588.0,5049.0,13849.0,1154.0833333333333,13332.0,1111.0,27181.0,2265.0833333333335,22.857661583151778,22.857661583151778,22.004357298474943,22.004357298474943,44.862018881626724,44.862018881626724
"Block Group 3, Census Tract 1005, Montgomery County, Tennessee",471251005003,1332.0,51449.0,4287.416666666667,11269.0,939.0833333333334,11232.0,936.0,22501.0,1875.0833333333333,21.90324398919318,21.903243989193182,21.831328111333555,21.831328111333555,43.734572100526734,43.734572100526734
"Block Group 1, Census Tract 1003, Montgomery County, Tennessee",471251003001,588.0,25403.0,2116.9166666666665,12622.0,1051.8333333333333,9624.0,802.0,22246.0,1853.8333333333333,49.68704483722395,49.68704483722395,37.88528913907807,37.88528913907806,87.57233397630202,87.572333976302
"Block Group 2, Census Tract 1002, Montgomery County, Tennessee",471251002002,474.0,31667.0,2638.9166666666665,12048.0,1004.0,10044.0,837.0,22092.0,1841.0,38.045915306154676,38.04591530615467,31.717560867780342,31.717560867780335,69.76347617393502,69.76347617393502
"Block Group 4, Census Tract 1020.05, Montgomery County, Tennessee",471251020054,289.0,57067.0,4755.583333333333,15922.0,1326.8333333333333,16356.0,1363.0,32278.0,2689.8333333333335,27.900537964147404,27.900537964147404,28.661047540610163,28.661047540610156,56.56158550475757,56.56158550475756
"Block Group 1, Census Tract 1007, Montgomery County, Tennessee",471251007001,222.0,61667.0,5138.916666666667,13415.0,1117.9166666666667,16176.0,1348.0,29591.0,2465.9166666666665,21.753936465208294,21.753936465208294,26.231209561029402,26.231209561029402,47.98514602623769,47.98514602623769
"Block Group 1, Census Tract 1102, Stewart County, Tennessee",471611102001,548.0,53333.0,4444.416666666667,16646.0,1387.1666666666667,16368.0,1364.0,33014.0,2751.1666666666665,31.211445071531696,31.211445071531696,30.690191813698835,30.690191813698835,61.90163688523052,61.90163688523054
"Block Group 3, Census Tract 1107, Stewart County, Tennessee",471611107003,496.0,51389.0,4282.416666666667,16107.0,1342.25,10080.0,840.0,26187.0,2182.25,31.343283582089548,31.343283582089555,19.61509272412384,19.61509272412384,50.958376306213395,50.958376306213395
"Block Group 1, Census Tract 1106, Stewart County, Tennessee",471611106001,610.0,47949.0,3995.75,17257.0,1438.0833333333333,13212.0,1101.0,30469.0,2539.0833333333335,35.99032305157563,35.990323051575636,27.55427641869486,27.55427641869486,63.544599470270505,63.54459947027049
"Block Group 2, Census Tract 1102, Stewart County, Tennessee",471611102002,648.0,44231.0,3685.9166666666665,16102.0,1341.8333333333333,10080.0,840.0,26182.0,2181.8333333333335,36.40433180348624,36.404331803486244,22.789446315932267,22.789446315932267,59.19377811941852,59.1937781194185
"Block Group 4, Census Tract 1102, Stewart County, Tennessee",471611102004,624.0,40475.0,3372.9166666666665,17117.0,1426.4166666666667,14976.0,1248.0,32093.0,2674.4166666666665,42.290302655960474,42.290302655960474,37.00061766522545,37.00061766522545,79.29092032118592,79.29092032118592
"Block Group 3, Census Tract 1102, Stewart County, Tennessee",471611102003,694.0,52931.0,4410.916666666667,16781.0,1398.4166666666667,12636.0,1053.0,29417.0,2451.4166666666665,31.703538569080504,31.703538569080504,23.87258884207742,23.872588842077423,55.57612741115791,55.57612741115793
"Block Group 2, Census Tract 1107, Stewart County, Tennessee",471611107002,514.0,35208.0,2934.0,13686.0,1140.5,10728.0,894.0,24414.0,2034.5,38.87184730743013,38.87184730743013,30.470347648261757,30.470347648261757,69.3421949556919,69.3421949556919
"Block Group 1, Census Tract 9802, Stewart County, Tennessee",471619802001,0.0,-666666666.0,-55555555.5,,,,,,,,,,,,
"Block Group 1, Census Tract 9801, Montgomery County, Tennessee",471259801001,0.0,-666666666.0,-55555555.5,,,,,,,,,,,,
"Block Group 2, Census Tract 1010.01, Montgomery County, Tennessee",471251010012,1059.0,43231.0,3602.5833333333335,14177.0,1181.4166666666667,11436.0,953.0,25613.0,2134.4166666666665,32.79359718720363,32.79359718720363,26.453239573454233,26.453239573454233,59.24683676065785,59.246836760657864
"Block Group 3, Census Tract 1013.03, Montgomery County, Tennessee",471251013033,2462.0,67074.0,5589.5,15842.0,1320.1666666666667,16380.0,1365.0,32222.0,2685.1666666666665,23.61868980528968,23.61868980528968,24.420788979336255,24.420788979336255,48.039478784625935,48.039478784625935
"Block Group 3, Census Tract 1013.06, Montgomery County, Tennessee",471251013063,756.0,41364.0,3447.0,13765.0,1147.0833333333333,11700.0,975.0,25465.0,2122.0833333333335,33.277729426554494,33.277729426554494,28.285465622280242,28.285465622280242,61.56319504883474,61.56319504883474
"Block Group 2, Census Tract 1013.03, Montgomery County, Tennessee",471251013032,882.0,56048.0,4670.666666666667,13798.0,1149.8333333333333,12900.0,1075.0,26698.0,2224.8333333333335,24.618184413359977,24.618184413359977,23.01598629745932,23.01598629745932,47.6341707108193,47.6341707108193
"Block Group 1, Census Tract 9801, Stewart County, Tennessee",471619801001,0.0,-666666666.0,-55555555.5,,,,,,,,,,,,
"Block Group 2, Census Tract 1106, Stewart County, Tennessee",471611106002,359.0,30982.0,2581.8333333333335,15413.0,1284.4166666666667,10848.0,904.0,26261.0,2188.4166666666665,49.74824091407915,49.74824091407915,35.013879026531534,35.013879026531534,84.76211994061067,84.76211994061067
"Block Group 1, Census Tract 1107, Stewart County, Tennessee",471611107001,685.0,52431.0,4369.25,17507.0,1458.9166666666667,12492.0,1041.0,29999.0,2499.9166666666665,33.390551391352446,33.390551391352446,23.82559935915775,23.82559935915775,57.21615075051019,57.216150750510195
