NAME,GEO_ID,Mean Travel Time to Work
Stewart County,0500000US47161,32.0
Sumner County,0500000US47165,27.6
Trousdale County,0500000US47169,31.9
Williamson County,0500000US47187,27.0
Wilson County,0500000US47189,27.8
Cheatham County,0500000US47021,32.7
Davidson County,0500000US47037,23.1
Dickson County,0500000US47043,29.9
Houston County,0500000US47083,27.8
Humphreys County,0500000US47085,25.6
"Macon County, Tennessee",0500000US47111,30.5
Maury County,0500000US47119,26.6
Montgomery County,0500000US47125,24.4
Robertson County,0500000US47147,28.5
Rutherford County,0500000US47149,26.1
"Allen County, KY",0500000US21003,26.8
"Simpson County, KY",0500000US21213,18.3
"Scottsville, KY",1600000US2169114,19.9
"Fort Knox CDP, Kentucky",1600000US2128540,11.3
"Franklin, KY",1600000US2128918,17.4
Adams,1600000US4700200,22.2
Ashland City,1600000US4702180,27.3
Belle Meade,1600000US4704620,18.9
Berry Hill,1600000US4705140,15.5
Brentwood,1600000US4708280,24.0
Burns,1600000US4709880,27.5
Cedar Hill,1600000US4711980,30.6
Charlotte,1600000US4713080,32.3
Clarksville,1600000US4715160,23.1
Columbia,1600000US4716540,24.2
Coopertown,1600000US4716980,35.6
Cross Plains,1600000US4718420,30.2
Cumberland City,1600000US4718820,23.3
Dickson,1600000US4720620,22.8
Dover,1600000US4721400,23.5
Eagleville,1600000US4722360,34.0
Erin,1600000US4724320,27.6
Fairview,1600000US4725440,38.0
Forest Hills,1600000US4727020,20.8
Franklin,1600000US4727740,23.4
Gallatin,1600000US4728540,23.8
Goodlettsville,1600000US4729920,24.8
Greenbrier,1600000US4730960,28.1
Hendersonville,1600000US4733280,26.7
Kingston Springs,1600000US4739660,31.6
Lafayette,1600000US4740160,28.2
La Vergne,1600000US4741200,29.4
Lebanon,1600000US4741520,22.3
McEwen,1600000US4744840,30.2
Millersville,1600000US4748980,28.1
Mitchellville,1600000US4749460,17.9
Mount Juliet,1600000US4750780,27.9
Mount Pleasant,1600000US4751080,19.8
Murfreesboro,1600000US4751560,24.5
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,23.2
New Johnsonville,1600000US4752820,20.3
Nolensville,1600000US4753460,27.9
Oak Hill,1600000US4754780,17.4
Pegram,1600000US4757480,30.2
Pleasant View,1600000US4759560,32.6
Portland,1600000US4760280,29.9
Ridgetop,1600000US4763140,29.7
Slayden,1600000US4769080,47.0
Smyrna,1600000US4769420,24.4
Springfield,1600000US4770500,22.6
Spring Hill,1600000US4770580,32.7
Tennessee Ridge,1600000US4773460,26.3
Thompson's Station,1600000US4773900,33.0
Vanleer,1600000US4776860,25.3
Watertown,1600000US4778320,30.5
Waverly,1600000US4778560,19.8
Westmoreland,1600000US4779420,33.4
White Bluff,1600000US4779980,32.6
White House,1600000US4780200,28.8
Tennessee,0400000US47,23.9
US,0100000US,25.2
